,Name,RA2000,DEC2000,MWA_072-103_S,MWA_072-103_dS,MWA_103-134_S,MWA_103-134_dS,MWA_139-170_S,MWA_139-170_dS,MWA_170-231_S,MWA_170-231_dS,MOST_70cm_S,MOST_70cm_dS,SUMSS_40cm_S,SUMSS_40cm_dS,ATCA_20cm_S,ATCA_20cm_dS,PMN_6cm_S,PMN_6cm_dS,ATCA_6cm_S,ATCA_6cm_dS,AT20G_6cm_S,AT20G_6cm_dS,ATCA_3cm_S,ATCA_3cm_dS,AT20G_3cm_S,AT20G_3cm_dS,AT20G_2cm_S,AT20G_2cm_dS,alpha,alpha_err,alpha_N
4171,054829-662058,05:48:29.71,-66:20:58.2,,,,,,,,,,,,,2.56,0.36,,,,,,,,,,,,,,,
4172,054832-630241,05:48:32.66,-63:02:41.3,,,,,,,,,,,,,2.50,0.26,,,,,,,,,,,,,,,
4173,054833-720255,05:48:33.02,-72:02:56.0,,,,,,,,,,,,,2.70,0.33,,,2.77,0.44,,,,,,,,,0.02,0.12,2
4174,054840-673131,05:48:40.06,-67:31:31.8,,,,,,,,,,,,,3.11,0.43,,,,,,,,,,,,,,,
4175,043517-640729,04:35:17.66,-64:07:29.3,,,,,,,,,,,8.9,1.1,4.80,0.53,,,,,,,,,,,,,-1.22,0.55,2
4176,054845-640959,05:48:45.74,-64:09:59.4,,,,,,,,,,,,,2.09,0.21,,,,,,,,,,,,,,,
4177,054858-735827,05:48:58.32,-73:58:27.1,,,,,,,,,,,,,3.39,0.46,,,,,,,,,,,,,,,
4178,054901-654526,05:49:01.20,-65:45:27.0,,,,,,,,,,,,,3.90,0.44,,,,,,,,,,,,,,,
4179,054901-672826,05:49:01.37,-67:28:26.4,,,,,,,,,,,,,3.47,0.55,,,,,,,,,,,,,,,
4180,054901-652044,05:49:01.94,-65:20:44.1,,,,,,,,,,,,,3.40,0.42,,,,,,,,,,,,,,,
4181,054902-675645,05:49:02.45,-67:56:45.6,,,,,,,,,,,,,1.81,0.18,,,,,,,,,,,,,,,
4182,054904-721120,05:49:04.97,-72:11:20.8,,,,,,,,,,,,,2.14,0.35,,,,,,,,,,,,,,,
4183,054907-632909,05:49:07.18,-63:29:09.2,,,,,,,,,,,,,3.97,0.45,,,,,,,,,,,,,,,
4184,054912-665544,05:49:12.46,-66:55:44.8,,,,,,,,,,,,,3.00,0.35,,,,,,,,,,,,,,,
4185,054915-630114,05:49:15.77,-63:01:14.5,,,,,,,,,,,,,2.58,0.26,,,,,,,,,,,,,,,
4186,043518-704614,04:35:18.48,-70:46:14.9,,,,,,,94,13,,,31.4,1.7,14.0,1.4,,,,,,,,,,,,,-0.94,0.35,3
4187,054916-741338,05:49:16.01,-74:13:39.0,,,,,,,,,,,,,3.24,0.33,,,,,,,,,,,,,,,
4188,054916-725424,05:49:16.85,-72:54:24.8,,,,,,,,,,,,,3.16,0.39,,,,,,,,,,,,,,,
4189,054918-630217,05:49:18.60,-63:02:17.5,,,,,,,,,,,,,2.08,0.21,,,,,,,,,,,,,,,
4190,054926-660943,05:49:26.11,-66:09:43.6,,,,,,,,,,,,,1.77,0.18,,,,,,,,,,,,,,,
4191,054934-635521,05:49:34.87,-63:55:21.7,,,,,,,,,,,,,2.82,0.52,,,,,,,,,,,,,,,
4192,054936-720722,05:49:36.48,-72:07:22.1,,,,,,,,,,,,,2.25,0.34,,,,,,,,,,,,,,,
4193,054937-685740,05:49:37.58,-68:57:40.7,,,,,,,,,,,,,3.16,0.32,,,,,,,,,,,,,,,
4194,054940-723344,05:49:40.58,-72:33:44.3,,,,,,,,,,,,,2.53,0.35,,,,,,,,,,,,,,,
4195,054940-671546,05:49:40.73,-67:15:46.4,,,,,,,,,,,,,2.40,0.35,,,,,,,,,,,,,,,
4196,043521-722117,04:35:21.24,-72:21:16.9,,,,,,,,,,,6.60,0.90,8.71,0.89,,,,,,,,,,,,,0.55,0.52,2
4197,054942-673435,05:49:42.29,-67:34:35.4,,,,,,,,,,,,,1.90,0.19,,,,,,,,,,,,,,,
4198,054946-721422,05:49:46.46,-72:14:22.6,,,,,,,,,,,,,7.04,0.72,,,,,,,,,,,,,,,
4199,054951-721228,05:49:51.05,-72:12:28.8,,,,,,,,,,,,,3.76,0.46,,,,,,,,,,,,,,,
4200,054954-662426,05:49:54.74,-66:24:26.3,,,,,,,,,,,,,1.69,0.17,,,,,,,,,,,,,,,
4201,054959-671009,05:49:59.38,-67:10:09.1,,,,,,,,,,,,,1.90,0.28,,,,,,,,,,,,,,,
4202,055008-635259,05:50:08.04,-63:52:59.2,,,,,,,,,,,,,4.59,0.46,,,,,,,,,,,,,,,
4203,055011-692515,05:50:11.04,-69:25:15.6,,,,,,,,,,,,,3.49,0.36,,,2.21,0.35,,,,,,,,,-0.366,0.082,2
4204,055011-680039,05:50:11.98,-68:00:39.2,,,,,,,,,,,,,3.58,0.52,,,,,,,,,,,,,,,
4205,055016-660216,05:50:16.58,-66:02:16.5,,,,,,,,,,,,,4.80,0.53,,,,,,,,,,,,,,,
4206,055017-670213,05:50:17.30,-67:02:13.2,,,,,,,,,,,,,3.41,0.42,,,,,,,,,,,,,,,
4207,043546-651031,04:35:46.85,-65:10:31.1,,,,,,,,,,,15.6,1.2,9.13,0.96,,,,,,,,,,,,,-1.06,0.44,2
4208,055021-631713,05:50:21.98,-63:17:13.9,,,,,,,,,,,,,2.19,0.37,,,,,,,,,,,,,,,
4209,055029-630754,05:50:29.81,-63:07:54.1,,,,,,,,,,,,,3.95,0.68,,,,,,,,,,,,,,,
4210,055029-712816,05:50:29.98,-71:28:16.7,,,,,,,,,,,,,2.09,0.21,,,,,,,,,,,,,,,
4211,055033-741215,05:50:33.00,-74:12:15.5,,,,,,,,,,,,,2.77,0.33,,,,,,,,,,,,,,,
4212,055034-735037,05:50:34.97,-73:50:37.3,,,,,,,,,,,,,3.00,0.52,,,,,,,,,,,,,,,
4213,055035-643811,05:50:35.02,-64:38:12.1,,,,,,,,,,,,,3.90,0.39,,,,,,,,,,,,,,,
4214,055037-652924,05:50:37.49,-65:29:24.3,,,,,,,,,,,,,4.16,0.46,,,,,,,,,,,,,,,
4215,055038-635405,05:50:38.06,-63:54:05.4,,,,,,,,,,,,,2.82,0.49,,,,,,,,,,,,,,,
4216,055040-645050,05:50:40.56,-64:50:50.3,,,,,,,,,,,,,3.42,0.45,,,,,,,,,,,,,,,
4217,055041-630626,05:50:41.64,-63:06:26.3,,,,,,,,,,,,,2.62,0.48,,,,,,,,,,,,,,,
4218,043554-623428,04:35:54.65,-62:34:28.2,,,,,,,,,,,9.3,1.0,,,,,,,,,,,,,,,,,
4219,055042-640949,05:50:42.14,-64:09:49.3,,,,,,,,,,,,,8.23,0.99,,,,,,,,,,,,,,,
4220,055103-635456,05:51:03.22,-63:54:56.5,,,,,,,,,,,,,2.91,0.44,,,,,,,,,,,,,,,
4221,055103-641534,05:51:03.89,-64:15:34.9,,,,,,,,,,,,,4.58,0.60,,,,,,,,,,,,,,,
4222,055106-721415,05:51:06.89,-72:14:15.4,,,,,,,,,,,,,3.64,0.40,,,,,,,,,,,,,,,
4223,055118-654635,05:51:18.46,-65:46:35.0,,,,,,,,,,,,,3.22,0.44,,,,,,,,,,,,,,,
4224,055121-690832,05:51:21.17,-69:08:32.6,,,,,,,,,,,,,4.38,0.53,,,,,,,,,,,,,,,
4225,055127-732251,05:51:27.74,-73:22:51.6,,,,,,,,,,,,,2.32,0.37,,,,,,,,,,,,,,,
4226,055128-662428,05:51:28.39,-66:24:28.4,,,,,,,,,,,,,1.50,0.15,,,,,,,,,,,,,,,
4227,055131-651818,05:51:31.25,-65:18:18.0,,,,,,,,,,,,,3.29,0.40,,,,,,,,,,,,,,,
4228,055131-641659,05:51:31.39,-64:16:59.1,,,,,,,,,,,,,4.82,0.57,,,,,,,,,,,,,,,
4229,043557-731406,04:35:57.77,-73:14:06.0,,,,,,,,,,,13.3,1.2,6.16,0.65,,,,,,,,,,,,,-1.52,0.48,2
4230,055138-625908,05:51:38.98,-62:59:08.2,,,,,,,,,,,,,2.84,0.29,,,,,,,,,,,,,,,
4231,055149-704435,05:51:49.32,-70:44:35.9,,,,,,,,,,,,,3.62,0.46,,,,,,,,,,,,,,,
