,Name,RA2000,DEC2000,MWA_072-103_S,MWA_072-103_dS,MWA_103-134_S,MWA_103-134_dS,MWA_139-170_S,MWA_139-170_dS,MWA_170-231_S,MWA_170-231_dS,MOST_70cm_S,MOST_70cm_dS,SUMSS_40cm_S,SUMSS_40cm_dS,ATCA_20cm_S,ATCA_20cm_dS,PMN_6cm_S,PMN_6cm_dS,ATCA_6cm_S,ATCA_6cm_dS,AT20G_6cm_S,AT20G_6cm_dS,ATCA_3cm_S,ATCA_3cm_dS,AT20G_3cm_S,AT20G_3cm_dS,AT20G_2cm_S,AT20G_2cm_dS,alpha,alpha_err,alpha_N
1,055330-743805,05:53:30.00,-74:38:05.3,323,69,282,34,217,19,170,17,,,31.6,1.6,,,,,,,,,,,,,,,-1.07,0.35,5
2,060138-735520,06:01:38.78,-73:55:20.3,562,70,472,34,359,18,304,14,,,82.5,3.8,54.0,5.4,,,,,,,,,,,,,-0.87,0.16,6
3,061726-701648,06:17:26.42,-70:16:48.0,391,56,264,23,241,17,169,13,,,46.2,1.6,23.3,2.3,,,,,,,,,,,,,-0.99,0.17,6
4,051716-632922,05:17:16.18,-63:29:22.2,1200,57,844,26,695,14,516,12,,,103.0,4.4,57.7,5.8,,,,,,,,,,,,,-1.103,0.076,6
5,051717-631107,05:17:17.09,-63:11:07.4,,,,,96,22,76,17,,,20.6,1.5,13.0,1.3,,,,,,,,,,,,,-0.91,0.39,4
6,051717-672355,05:17:17.11,-67:23:55.0,,,,,,,89,21,,,28.5,2.0,18.4,1.9,,,4.61,0.61,,,,,,,,,-0.93,0.34,4
7,051721-664954,05:17:21.96,-66:49:54.8,,,,,,,,,,,19.9,2.8,6.47,0.68,,,,,,,,,,,,,-2.22,0.84,2
8,051725-703016,05:17:25.49,-70:30:16.6,,,,,,,,,,,24.4,1.2,14.2,1.4,,,2.76,0.49,,,,,,,,,-1.26,0.12,3
9,051725-721343,05:17:25.97,-72:13:43.7,,,,,,,,,,,19.5,3.8,3.33,0.42,,,,,,,,,,,,,-3.5,1.2,2
10,051728-694243,05:17:28.56,-69:42:43.2,,,,,,,,,,,13.0,2.0,7.56,0.85,,,,,,,,,,,,,-1.07,0.81,2
11,051730-675749,05:17:30.19,-67:57:49.7,,,,,,,,,,,,,,,,,,,,,2.34,0.50,,,,,,,
12,051732-663705,05:17:32.04,-66:37:05.9,,,,,,,,,,,22.2,1.6,10.0,1.0,,,,,,,,,,,,,-1.57,0.46,2
13,051733-690437,05:17:33.55,-69:04:37.9,,,,,,,,,,,29.1,1.4,20.5,2.1,,,4.88,0.65,,,,,,,,,-1.05,0.11,3
14,050321-721722,05:03:21.43,-72:17:22.2,1179,63,782,34,556,22,392,16,,,20.7,2.7,10.2,1.0,,,,,,,,,,,,,-1.80,0.11,6
15,051734-745058,05:17:34.25,-74:50:58.6,,,,,,,,,,,11.2,1.1,,,,,,,,,,,,,,,,,
16,051741-685546,05:17:41.71,-68:55:46.9,,,,,,,,,,,12.3,1.0,12.9,1.3,,,1.84,0.45,,,,,,,,,-1.18,0.13,3
17,051744-742826,05:17:44.09,-74:28:26.0,,,,,141,24,89,17,,,12.0,1.6,7.12,0.74,,,,,,,,,,,,,-1.37,0.33,4
18,051746-740806,05:17:46.22,-74:08:06.7,,,,,,,,,,,,,10.9,1.1,,,,,,,,,,,,,,,
19,051806-661640,05:18:06.50,-66:16:40.1,1180,80,961,40,801,22,,,,,183.9,5.6,112,11,,,29.6,3.0,,,13.3,1.4,,,,,-0.960,0.066,7
20,051806-740013,05:18:06.10,-74:00:13.3,,,,,,,,,,,7.9,1.2,11.5,1.2,,,,,,,,,,,,,0.74,0.63,2
21,051808-742938,05:18:08.62,-74:29:38.0,,,,,,,,,,,9.2,2.1,3.13,0.41,,,,,,,,,,,,,-2.1,1.0,2
22,051818-655609,05:18:18.72,-65:56:09.2,,,,,,,113,22,,,27.2,1.4,20.7,2.1,,,3.41,0.51,,,2.69,0.28,,,,,-1.04,0.21,5
23,051819-661718,05:18:19.63,-66:17:18.9,,,,,,,,,,,77.8,2.5,50.5,5.1,,,15.9,1.6,,,6.85,0.79,,,,,-1.017,0.076,4
24,051821-733541,05:18:21.17,-73:35:41.6,,,,,,,,,,,14.4,2.6,3.47,0.43,,,,,,,,,,,,,-2.81,0.97,2
25,060602-704201,06:06:02.42,-70:42:01.4,,,242,36,246,25,161,14,,,107.0,3.4,74.3,7.4,25.0,6.0,,,,,,,,,,,-0.58,0.21,6
26,051822-712753,05:18:22.58,-71:27:53.3,388,97,313,43,233,23,184,15,,,42.5,1.6,25.6,2.6,,,4.39,0.48,,,,,,,,,-1.10,0.19,7
27,051826-695906,05:18:26.38,-69:59:06.4,,,,,,,,,,,7.90,0.80,3.79,0.61,,,,,,,,,,,,,-1.45,0.53,2
28,051831-715834,05:18:31.73,-71:58:34.3,,,,,,,,,,,,,2.69,0.27,,,,,,,,,,,,,,,
29,051843-663028,05:18:43.63,-66:30:28.8,,,,,,,,,,,20.9,1.6,12.4,1.3,,,3.08,0.42,,,,,,,,,-1.10,0.13,3
30,051847-715446,05:18:47.06,-71:54:46.8,,,,,,,,,,,,,9.13,0.98,,,,,,,,,,,,,,,
31,051857-643508,05:18:57.94,-64:35:08.2,436,76,296,31,238,18,,,,,38.5,2.8,9.81,0.99,,,,,,,,,,,,,-1.28,0.23,5
32,051859-640238,05:18:59.45,-64:02:38.4,385,65,273,21,256,14,193,12,,,80.5,2.6,49.1,4.9,,,,,,,,,,,,,-0.71,0.19,6
33,051906-714746,05:19:06.98,-71:47:46.7,1542,69,1276,33,1061,20,,,,,149.2,4.7,,,,,23.2,2.3,,,10.4,1.1,,,,,-1.099,0.051,6
34,051914-641336,05:19:14.57,-64:13:36.1,,,1405,23,1211,13,1018,12,,,376,11,225,23,64.0,8.0,,,,,,,,,,,-0.82,0.11,6
35,051916-701416,05:19:16.25,-70:14:16.4,,,,,,,,,,,36.6,1.4,24.3,2.4,,,7.88,0.81,,,2.44,0.50,,,,,-1.107,0.071,4
36,061349-702329,06:13:49.97,-70:23:29.4,,,129,30,157,21,117,16,,,36.8,1.4,22.0,2.2,,,,,,,,,,,,,-0.78,0.28,5
37,051919-663924,05:19:19.10,-66:39:24.5,,,,,,,,,,,17.2,2.5,3.97,0.57,,,,,,,,,,,,,-2.90,0.86,2
38,051919-714802,05:19:19.99,-71:48:02.5,,,,,,,,,,,72.2,2.5,,,30.0,6.0,13.9,1.4,,,6.97,0.88,,,,,-0.91,0.11,3
39,051926-674703,05:19:26.04,-67:47:03.1,,,379,91,339,53,258,40,,,55.3,2.0,40.9,4.1,,,11.3,1.2,,,4.45,0.51,,,,,-1.02,0.19,7
40,051927-644037,05:19:27.48,-64:40:37.9,,,,,,,,,,,11.1,1.0,,,,,,,,,,,,,,,,,
41,051934-670852,05:19:34.13,-67:08:52.8,,,,,,,98,19,,,31.9,1.5,14.6,1.5,,,3.63,0.45,,,,,,,,,-1.05,0.28,4
42,051939-674934,05:19:39.22,-67:49:34.7,,,,,,,,,,,14.8,1.2,12.7,1.3,,,2.86,0.39,,,,,,,,,-0.99,0.12,3
43,051949-721059,05:19:49.94,-72:10:59.9,,,,,,,,,,,12.1,2.0,1.83,0.19,,,,,,,,,,,,,-3.72,0.81,2
44,051950-625153,05:19:50.64,-62:51:52.9,,,,,,,,,,,22.0,1.2,,,,,,,,,,,,,,,,,
45,051951-710018,05:19:51.77,-71:00:18.0,,,,,,,,,,,9.3,1.2,4.56,0.52,,,,,,,,,,,,,-1.41,0.59,2
46,051952-632355,05:19:52.75,-63:23:55.7,,,,,,,,,,,14.00,0.90,7.69,0.79,,,,,,,,,,,,,-1.18,0.35,2
47,055104-710610,05:51:04.51,-71:06:10.1,590,140,444,42,370,18,317,13,,,90.1,3.0,55.9,5.6,,,13.9,1.4,,,3.40,0.44,,,,,-1.04,0.14,8
48,051957-642525,05:19:57.82,-64:25:25.7,,,,,,,,,,,13.0,1.2,7.41,0.79,,,,,,,,,,,,,-1.11,0.49,2
49,052000-694647,05:20:00.10,-69:46:46.9,,,,,,,,,,,,,,,,,,,,,3.43,0.55,,,,,,,
50,052005-694726,05:20:05.04,-69:47:26.2,,,431,77,326,40,,,,,65.9,2.4,38.6,3.9,,,9.94,0.99,,,6.96,0.80,,,,,-0.98,0.17,6
51,052006-680223,05:20:06.53,-68:02:23.3,1230,150,841,69,660,35,551,29,,,174.9,5.4,115,11,62.0,7.0,35.0,3.5,,,23.5,2.4,,,,,-0.814,0.096,8
52,052009-665021,05:20:09.53,-66:50:21.5,,,,,,,,,,,18.5,2.6,12.7,1.3,,,2.29,0.47,,,,,,,,,-1.23,0.21,3
53,052014-692429,05:20:14.52,-69:24:29.5,,,,,,,,,,,6.7,1.1,,,,,,,,,,,,,,,,,
54,052018-654309,05:20:18.58,-65:43:09.8,,,,,,,,,,,,,4.11,0.56,39.0,7.0,,,,,,,,,,,1.79,0.53,2
55,052019-681240,05:20:19.30,-68:12:40.0,,,,,,,,,,,37.0,1.4,,,,,6.96,0.78,,,,,,,,,-0.955,0.097,2
56,052022-724444,05:20:22.03,-72:44:44.5,546,70,372,24,381,16,336,14,,,112.9,4.9,62.1,6.2,,,,,,,,,,,,,-0.75,0.16,6
57,052023-652547,05:20:23.86,-65:25:46.9,,,,,,,,,,,8.40,0.90,10.3,1.1,34.0,7.0,,,,,,,,,,,0.82,0.46,3
58,060234-704155,06:02:34.92,-70:41:55.3,647,92,431,35,348,22,295,17,,,72.5,2.5,38.7,3.9,,,,,,,,,,,,,-0.99,0.18,6
59,052024-635937a,05:20:24.48,-63:59:37.3,,,,,,,,,,,12.1,1.0,7.62,0.80,,,,,,,,,,,,,-0.91,0.42,2
60,052027-625509,05:20:27.67,-62:55:09.1,,,170,31,97,12,79,11,,,24.8,1.1,,,,,,,,,,,,,,,-0.91,0.32,4
61,052029-681209,05:20:29.06,-68:12:09.4,,,437,72,335,36,,,,,33.4,1.4,,,,,5.54,0.67,,,,,,,,,-1.20,0.19,4
62,052033-693525,05:20:33.29,-69:35:25.1,,,,,,,,,,,29.7,1.8,18.8,1.9,,,6.40,0.91,,,,,,,,,-0.87,0.15,3
63,052044-703734,05:20:44.26,-70:37:34.0,,,,,,,,,,,6.20,0.90,3.49,0.45,,,,,,,,,,,,,-1.14,0.56,2
64,052046-685511,05:20:46.44,-68:55:11.6,,,,,,,,,,,11.8,1.0,6.31,0.96,,,,,,,,,,,,,-1.24,0.59,2
65,052047-630936,05:20:47.62,-63:09:36.0,,,,,,,,,,,46.8,1.6,26.6,2.7,,,,,,,,,,,,,-1.11,0.27,2
66,052055-664132,05:20:55.20,-66:41:32.6,,,,,,,,,,,17.2,1.2,9.60,0.99,,,3.26,0.42,,,,,,,,,-0.93,0.11,3
67,052101-700630,05:21:01.10,-70:06:30.6,,,,,211,44,,,,,46.0,3.2,,,,,5.54,0.65,,,,,,,,,-1.06,0.33,3
68,052104-631329,05:21:04.37,-63:13:28.9,,,,,,,,,,,28.6,2.2,18.7,1.9,,,,,,,,,,,,,-0.84,0.51,2
69,061048-702034,06:10:48.07,-70:20:34.1,,,171,26,217,19,156,13,,,38.7,1.4,56.2,5.6,,,,,,,,,,,,,-0.64,0.23,5
70,052105-700721,05:21:05.88,-70:07:21.3,,,,,,,,,,,,,,,,,3.21,0.33,,,,,,,,,,,
71,052106-723422,05:21:06.05,-72:34:22.8,,,,,88,16,,,,,,,,,,,,,,,,,,,,,,,
72,052108-674330,05:21:08.40,-67:43:30.0,,,,,201,49,223,37,,,58.5,2.1,36.2,3.7,,,10.8,1.1,,,4.10,0.51,,,,,-0.97,0.22,6
73,052110-650812,05:21:10.30,-65:08:12.5,,,,,,,,,,,10.0,1.0,5.70,0.60,,,,,,,,,,,,,-1.11,0.47,2
74,052114-631234,05:21:14.16,-63:12:34.6,320,56,233,24,183,15,,,,,32.5,2.2,3.78,0.41,,,,,,,,,,,,,-1.43,0.21,5
75,052117-702102,05:21:17.69,-70:21:02.9,,,,,,,,,,,11.90,0.90,5.30,0.58,,,2.04,0.33,,,,,,,,,-0.96,0.10,3
76,052118-694050,05:21:18.24,-69:40:50.2,,,,,,,,,,,10.0,1.3,23.4,2.3,,,,,,,,,,,,,1.68,0.59,2
77,052121-725754,05:21:21.58,-72:57:54.4,,,,,,,,,,,,,1.62,0.16,,,,,,,,,,,,,,,
78,052125-634156,05:21:25.73,-63:41:57.1,,,,,,,,,,,10.7,1.1,6.39,0.67,,,,,,,,,,,,,-1.02,0.49,2
79,052127-670720,05:21:27.77,-67:07:21.0,,,,,185,22,166,16,,,87.3,2.8,54.2,5.4,,,19.4,2.0,,,8.74,0.93,,,,,-0.73,0.11,6
80,050402-720346,05:04:02.11,-72:03:46.1,447,56,430,29,366,18,343,14,,,141.3,4.3,90.6,9.1,30.0,6.0,31.5,3.1,,,14.0,1.4,,,,,-0.736,0.092,8
81,052128-715958,05:21:28.20,-71:59:58.2,,,,,275,20,,,,,38.6,1.5,,,,,7.14,0.76,,,3.07,0.31,,,,,-1.090,0.095,4
82,052134-652917,05:21:34.85,-65:29:17.9,,,,,,,,,,,13.6,1.6,12.8,1.3,,,,,,,,,,,,,-0.11,0.61,2
83,052134-694023,05:21:34.56,-69:40:23.2,,,,,,,,,,,79.5,2.9,,,161,11,37.2,3.7,,,,,,,,,-0.01,0.17,2
84,052137-641627,05:21:37.92,-64:16:27.8,561,43,447,20,351,14,302,13,,,90.6,4.0,52.6,5.3,,,,,,,,,,,,,-0.85,0.10,6
85,052138-663541,05:21:38.21,-66:35:41.3,,,,,,,,,,,22.7,1.2,14.3,1.4,,,3.00,0.39,,,,,,,,,-1.175,0.095,3
86,052143-671906,05:21:43.42,-67:19:06.2,,,,,,,,,,,30.8,1.5,18.9,1.9,,,5.75,0.65,,,,,,,,,-0.958,0.095,3
87,052143-720401,05:21:43.87,-72:04:01.2,,,,,107,15,72.7,9.4,,,20.0,1.1,11.8,1.2,,,2.85,0.43,,,,,,,,,-1.03,0.16,5
88,052153-683653,05:21:53.62,-68:36:52.9,,,,,,,,,,,16.5,1.3,9.2,1.0,,,3.37,0.44,,,2.54,0.26,,,,,-0.799,0.077,4
89,052209-684339,05:22:09.36,-68:43:39.7,,,,,,,,,,,15.4,1.4,9.0,1.1,,,,,,,,,,,,,-1.06,0.56,2
90,052224-641238,05:22:24.82,-64:12:38.5,1509,51,1233,25,930,17,,,,,109.9,4.4,49.1,4.9,,,,,,,,,,,,,-1.256,0.091,5
91,060005-703834,06:00:05.09,-70:38:34.1,4235,87,3430,36,2996,19,2557,14,1720,80,917,37,500,50,,,,,,,,,,,,,-0.741,0.060,7
92,052224-671951,05:22:24.36,-67:19:51.6,,,,,236,31,184,19,,,88.8,2.9,54.6,5.5,,,19.7,2.0,,,9.0,1.1,,,,,-0.77,0.13,6
93,052230-652519,05:22:30.26,-65:25:19.5,,,,,,,,,,,11.80,0.90,5.66,0.61,,,,,,,,,,,,,-1.45,0.40,2
94,052230-734753,05:22:30.43,-73:47:53.2,,,,,,,,,,,9.5,1.5,5.26,0.55,,,,,,,,,,,,,-1.17,0.71,2
95,052231-695836,05:22:31.63,-69:58:36.5,,,328,81,268,44,,,,,23.4,1.6,11.0,1.2,,,,,,,,,,,,,-1.40,0.42,4
96,052231-700937,05:22:31.61,-70:09:37.8,,,,,,,141,28,,,24.3,1.3,13.7,1.4,,,2.93,0.65,,,3.05,0.31,,,,,-1.07,0.23,5
97,052232-625928,05:22:32.78,-62:59:28.7,,,,,,,,,,,15.50,0.90,,,,,,,,,,,,,,,,,
98,052232-640542,05:22:32.95,-64:05:42.0,,,,,,,,,,,8.50,0.90,5.59,0.60,,,,,,,,,,,,,-0.83,0.46,2
99,052240-660926,05:22:40.42,-66:09:26.6,,,,,,,,,,,19.8,1.3,13.7,1.4,,,3.61,0.44,,,,,,,,,-0.99,0.11,3
100,052244-695758,05:22:44.62,-69:57:58.7,,,,,,,,,,,13.1,1.1,7.50,0.89,,,,,,,,,,,,,-1.10,0.50,2
101,052249-664058,05:22:49.61,-66:40:58.4,,,,,,,,,,,19.4,3.3,22.5,2.3,,,16.5,1.7,,,8.2,1.2,,,,,-0.35,0.18,4
102,050036-720626,05:00:36.19,-72:06:26.3,355,54,431,30,398,18,350,14,,,149.1,4.6,97.2,9.7,41.0,7.0,,,,,11.7,1.2,,,,,-0.72,0.11,8
103,052300-732507,05:23:00.34,-73:25:07.0,,,,,,,,,,,14.1,2.6,3.68,0.44,,,,,,,,,,,,,-2.65,0.98,2
104,052315-633754,05:23:15.02,-63:37:54.5,,,,,,,,,,,7.3,1.1,3.49,0.47,,,,,,,,,,,,,-1.46,0.63,2
105,052319-710154,05:23:19.01,-71:01:54.5,,,,,,,,,,,11.8,1.1,6.40,0.73,,,,,,,,,,,,,-1.21,0.50,2
106,052320-641111,05:23:20.09,-64:11:11.8,,,,,,,,,,,17.0,1.0,10.7,1.1,,,,,,,,,,,,,-0.91,0.34,2
107,052322-692136,05:23:22.97,-69:21:36.7,,,,,,,,,,,15.0,1.5,5.56,0.69,,,,,,,,,,,,,-1.96,0.59,2
108,052324-645247,05:23:24.22,-64:52:47.3,,,,,,,,,,,19.2,1.6,9.03,0.92,,,,,,,,,,,,,-1.49,0.49,2
109,052331-654142,05:23:31.56,-65:41:42.0,,,,,,,,,,,8.8,1.2,5.01,0.64,,,,,,,,,,,,,-1.11,0.64,2
110,052336-701145,05:23:36.00,-70:11:45.2,,,,,,,,,,,,,3.95,0.54,,,,,,,,,,,,,,,
111,052338-705016,05:23:38.81,-70:50:16.4,,,,,,,,,,,594,18,,,,,104,10,,,39.4,3.9,,,,,-1.12,0.15,3
112,052341-705120,05:23:41.02,-70:51:20.2,7030,87,5765,41,4788,25,,,,,610,18,,,230,13,130,100,,,,,,,,,-0.95,0.49,5
113,053416-743732,05:34:16.68,-74:37:32.5,268,61,249,32,217,18,163,15,,,,,,,,,,,,,,,,,,,-0.6,1.5,4
114,054307-710405,05:43:07.01,-71:04:05.5,1410,160,1017,66,803,30,643,20,,,199.7,7.8,120,12,32.0,6.0,28.2,2.8,,,12.0,1.3,,,,,-0.986,0.092,8
115,052350-640153,05:23:50.81,-64:01:53.8,,,,,,,,,,,7.40,0.80,4.11,0.45,,,,,,,,,,,,,-1.16,0.45,2
116,052358-655011,05:23:58.13,-65:50:11.1,,,,,,,142,33,,,15.8,1.3,19.4,2.0,,,,,,,,,,,,,-1.14,0.64,3
117,052359-634338,05:23:59.86,-63:43:38.3,,,,,,,,,,,7.20,0.90,10.7,1.1,,,,,,,,,,,,,0.78,0.49,2
118,052416-715759,05:24:16.44,-71:57:59.0,812,71,690,31,593,18,509,13,,,179.7,6.9,123,12,48.0,7.0,32.0,3.2,,,22.2,2.3,,,,,-0.783,0.074,8
119,052422-705538,05:24:22.44,-70:55:39.0,,,,,,,,,,,12.4,1.9,4.53,0.45,,,,,,,,,,,,,-1.99,0.82,2
120,052423-674828,05:24:23.04,-67:48:28.4,,,,,,,,,,,12.0,1.4,5.92,0.93,,,,,,,,,,,,,-1.39,0.72,2
121,052428-632801,05:24:28.56,-63:28:01.2,,,,,,,,,,,9.5,1.1,4.82,0.53,,,,,,,,,,,,,-1.34,0.53,2
122,052432-664237,05:24:32.16,-66:42:37.5,,,,,,,,,,,29.1,1.2,19.0,1.9,,,6.64,0.70,,,2.67,0.45,,,,,-0.986,0.065,4
123,052441-710131,05:24:41.83,-71:01:31.1,,,,,,,,,,,17.5,1.4,8.92,0.96,,,3.30,0.49,,,,,,,,,-0.92,0.13,3
124,052449-671918,05:24:49.80,-67:19:18.5,,,,,,,,,,,,,2.38,0.24,,,,,,,,,,,,,,,
125,050735-715234,05:07:35.69,-71:52:34.7,1143,69,829,31,666,18,516,14,,,117.1,4.9,68.6,6.9,,,21.0,2.1,,,9.7,1.1,,,,,-1.025,0.047,8
126,052452-672310,05:24:52.73,-67:23:10.3,,,,,,,,,,,10.6,1.5,4.44,0.54,,,,,,,,,,,,,-1.72,0.69,2
127,052452-682856,05:24:52.68,-68:28:56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,052457-733512,05:24:57.55,-73:35:12.8,,,,,,,,,,,,,1.60,0.16,,,,,,,,,,,,,,,
129,052503-700133,05:25:03.86,-70:01:33.2,,,,,,,,,,,20.8,1.4,9.5,1.1,,,2.62,0.39,,,,,,,,,-1.16,0.12,3
130,052512-710738,05:25:12.72,-71:07:38.7,,,,,,,,,,,10.80,0.90,5.80,0.68,,,,,,,,,,,,,-1.23,0.45,2
131,052520-633255,05:25:20.78,-63:32:55.7,,,,,,,,,,,26.6,1.2,12.8,1.3,,,,,,,,,,,,,-1.44,0.29,2
132,052521-663808,05:25:21.89,-66:38:08.9,,,,,,,,,,,9.7,1.5,3.66,0.55,,,,,,,,,,,,,-1.92,0.75,2
133,052525-633146,05:25:25.03,-63:31:46.9,472,57,398,27,295,15,,,,,28.1,1.3,14.5,1.5,,,,,,,,,,,,,-1.31,0.16,5
134,052537-712744,05:25:37.20,-71:27:43.9,,,,,178,48,99,25,,,28.0,1.3,16.1,1.6,,,7.15,0.77,,,3.20,0.62,,,,,-0.93,0.25,6
135,052540-740604,05:25:40.87,-74:06:04.3,,,,,,,,,,,20.0,1.6,10.5,1.1,,,,,,,,,,,,,-1.27,0.48,2
136,051812-713807,05:18:12.82,-71:38:07.1,,,218,34,217,22,205,17,,,76.6,2.6,54.4,5.5,,,22.7,2.3,,,13.2,1.4,,,,,-0.67,0.11,7
137,052541-670757,05:25:41.66,-67:07:57.0,,,,,,,,,,,,,4.25,0.43,,,,,,,,,,,,,,,
138,052543-711539,05:25:43.32,-71:15:39.6,,,,,208,54,170,28,,,15.4,1.0,8.57,0.90,,,,,,,,,,,,,-1.52,0.46,4
139,052544-670501,05:25:44.57,-67:05:01.7,,,,,,,,,,,15.1,1.4,5.19,0.80,,,,,,,,,,,,,-2.11,0.63,2
140,052547-695926,05:25:47.28,-69:59:26.2,,,,,191,48,156,26,,,31.7,1.7,18.0,1.9,,,2.55,0.41,,,,,,,,,-1.23,0.28,5
141,052555-663633,05:25:55.46,-66:36:33.5,,,,,,,,,,,,,3.73,0.65,,,,,,,,,,,,,,,
142,052555-693413,05:25:55.68,-69:34:13.1,,,,,,,,,,,27.8,2.1,15.8,1.7,,,,,,,,,,,,,-1.12,0.52,2
143,052610-663726,05:26:10.44,-66:37:26.4,,,,,,,,,,,20.2,1.3,10.1,1.0,,,3.12,0.41,,,,,,,,,-1.04,0.11,3
144,052611-702245,05:26:11.59,-70:22:45.1,,,,,,,,,,,25.6,1.2,15.7,1.6,,,4.24,0.49,,,,,,,,,-1.032,0.089,3
145,052614-664453,05:26:14.09,-66:44:53.9,,,,,,,,,,,29.2,1.3,14.1,1.4,,,4.19,0.59,,,,,,,,,-1.08,0.11,3
146,052615-691011,05:26:15.31,-69:10:11.6,,,,,,,,,,,14.6,1.1,9.10,0.98,,,,,,,,,,,,,-0.93,0.44,2
147,055516-703732,05:55:16.25,-70:37:32.9,,,218,48,213,21,151,15,,,63.9,3.6,37.2,3.7,,,11.3,1.1,,,5.55,0.63,,,,,-0.85,0.14,7
148,052617-680316,05:26:17.02,-68:03:16.2,,,,,,,,,,,25.0,1.2,16.8,1.7,,,2.88,0.32,,,,,,,,,-1.269,0.079,3
149,052624-690759,05:26:24.67,-69:07:59.2,,,,,,,,,,,12.0,1.1,5.10,0.70,,,,,,,,,,,,,-1.69,0.54,2
150,052630-654754,05:26:30.24,-65:47:55.0,,,,,,,,,,,,,,,,,5.06,0.52,,,,,,,,,,,
151,052631-654906,05:26:31.92,-65:49:06.6,2044,96,,,1288,37,,,,,338,10,,,30.0,7.0,58.7,5.9,,,12.9,1.3,,,,,-1.051,0.081,5
152,052636-641058,05:26:36.62,-64:10:58.8,,,200,23,180,16,129,13,,,31.8,1.3,18.2,1.8,,,,,,,,,,,,,-0.99,0.16,5
153,052644-690800,05:26:44.95,-69:08:00.6,,,,,,,,,,,6.5,1.1,7.05,0.72,,,,,,,,,,,,,0.16,0.63,2
154,052649-653613,05:26:49.92,-65:36:14.0,,,,,,,,,,,14.9,1.8,3.91,0.46,,,,,,,,,,,,,-2.64,0.67,2
155,052653-675259,05:26:53.88,-67:52:59.9,,,,,,,,,,,7.8,1.1,3.60,0.37,,,,,,,,,,,,,-1.53,0.57,2
156,052659-682952,05:26:59.02,-68:29:52.8,,,,,,,,,,,18.5,1.4,8.26,0.97,,,2.00,0.70,,,,,,,,,-1.25,0.18,3
157,052702-673833,05:27:02.81,-67:38:33.4,,,,,195,46,181,34,,,58.5,3.4,46.0,4.7,,,12.5,1.3,,,6.52,0.87,,,,,-0.84,0.22,6
158,044611-720511,04:46:11.38,-72:05:11.8,1172,52,989,25,913,17,772,12,,,282.2,8.5,195,20,84.0,8.0,41.7,4.2,,,,,,,,,-0.753,0.060,7
159,052705-643908,05:27:05.26,-64:39:08.6,,,,,,,,,,,8.9,1.3,3.70,0.42,,,,,,,,,,,,,-1.73,0.65,2
160,052713-642526,05:27:13.54,-64:25:27.1,,,,,,,,,,,12.1,1.1,,,,,,,,,,,,,,,,,
161,052718-642422,05:27:18.77,-64:24:22.0,,,138,28,120,14,,,,,16.9,1.1,,,,,,,,,,,,,,,-1.11,0.37,3
162,052722-634646,05:27:22.37,-63:46:46.9,,,,,,,,,,,25.5,1.3,15.5,1.6,,,,,,,,,,,,,-0.99,0.34,2
163,052727-703346,05:27:27.72,-70:33:46.4,,,,,,,,,,,23.4,3.7,26.3,2.8,,,3.39,0.75,,,,,,,,,-1.21,0.28,3
164,052730-655235,05:27:30.10,-65:52:35.8,,,,,,,,,,,15.7,1.6,6.93,0.69,,,,,,,,,,,,,-1.61,0.67,2
165,052731-663656,05:27:31.66,-66:36:56.2,,,,,,,,,,,35.0,1.5,20.5,2.1,,,5.15,0.55,,,,,,,,,-1.098,0.080,3
166,052731-721625,05:27:31.13,-72:16:25.7,,,,,,,,,,,9.00,0.90,5.43,0.58,,,,,,,,,,,,,-1.00,0.45,2
167,052732-675445,05:27:32.30,-67:54:45.0,,,,,,,,,,,7.5,1.1,8.96,0.93,,,,,,,,,,,,,0.35,0.60,2
168,052737-671718,05:27:37.39,-67:17:18.2,,,,,,,,,,,8.3,1.1,2.87,0.30,,,,,,,,,,,,,-2.09,0.56,2
169,052731-712228,05:27:31.92,-71:22:28.6,450,110,337,43,244,24,217,18,,,51.7,2.6,30.3,3.0,,,5.05,0.60,,,,,,,,,-1.08,0.20,7
170,052740-655313,05:27:40.80,-65:53:13.9,,,,,,,,,,,11.5,1.8,5.64,0.56,,,,,,,,,,,,,-1.41,0.83,2
171,052749-660130,05:27:49.32,-66:01:30.4,,,,,,,,,,,14.5,1.5,8.33,0.93,,,3.03,0.59,,,,,,,,,-0.88,0.17,3
172,052758-674956,05:27:58.27,-67:49:57.0,,,,,,,,,,,28.2,1.3,22.0,2.2,,,7.01,0.75,,,3.43,0.67,,,,,-0.908,0.088,4
173,052800-702538,05:28:00.22,-70:25:37.9,,,262,68,221,30,143,17,,,37.9,1.4,22.1,2.2,,,5.39,0.59,,,2.44,0.26,,,,,-1.08,0.18,7
174,052813-725336,05:28:13.68,-72:53:36.6,,,,,,,,,,,7.8,1.2,3.34,0.48,,,,,,,,,,,,,-1.67,0.67,2
175,052825-640427,05:28:25.32,-64:04:27.5,,,,,,,,,,,11.5,1.1,6.05,0.64,,,,,,,,,,,,,-1.27,0.48,2
176,052836-682627,05:28:36.31,-68:26:27.2,,,,,,,,,,,,,6.58,0.89,,,,,,,,,,,,,,,
177,052844-713441,05:28:44.95,-71:34:41.9,,,,,,,,,,,22.1,1.0,13.1,1.3,,,4.20,0.47,,,,,,,,,-0.942,0.078,3
