# Name             RA2000        DEC2000       MWA_072-103_S   MWA_072-103_dS   MWA_103-134_S   MWA_103-134_dS   MWA_139-170_S   MWA_139-170_dS   MWA_170-231_S   MWA_170-231_dS   MOST_70cm_S   MOST_70cm_dS   SUMSS_40cm_S   SUMSS_40cm_dS   ATCA_20cm_S   ATCA_20cm_dS   PMN_6cm_S   PMN_6cm_dS   ATCA_6cm_S   ATCA_6cm_dS   AT20G_6cm_S   AT20G_6cm_dS   ATCA_3cm_S   ATCA_3cm_dS   AT20G_3cm_S   AT20G_3cm_dS   AT20G_2cm_S   AT20G_2cm_dS   alpha    alpha_err   alpha_N  
  050342-680659    05:03:42.94   -68:06:59.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.9           2.0             5.12          0.65           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.97    0.79        2        
  050342-704915    05:03:42.82   -70:49:15.6   ...             ...              174             45               152             23               179             28               ...           ...            26.5           1.1             16.9          1.7            ...         ...          5.71         0.73          ...           ...            ...          ...           ...           ...            ...           ...            -0.99    0.22        6        
  050344-723703    05:03:44.76   -72:37:03.0   ...             ...              ...             ...              117             23               87              19               ...           ...            28.9           2.7             18.7          1.9            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.81    0.36        4        
  050348-700358    05:03:48.43   -70:03:58.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             7.37          0.78           ...         ...          3.69         0.57          ...           ...            ...          ...           ...           ...            ...           ...            -0.56    0.14        2        
  050355-672041    05:03:55.66   -67:20:41.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             8.32          0.91           ...         ...          3.62         0.51          ...           ...            ...          ...           ...           ...            ...           ...            -0.67    0.13        2        
  050359-640212    05:03:59.02   -64:02:12.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.4           1.7             7.65          0.91           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.79    0.76        2        
  050406-683545    05:04:06.98   -68:35:45.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            27.5           1.1             18.6          1.9            ...         ...          7.02         0.72          ...           ...            3.54         0.47          ...           ...            ...           ...            -0.858   0.059       4        
  050407-673329    05:04:07.87   -67:33:29.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.4            1.0             7.11          0.75           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.33    0.52        2        
  045258-675505    04:52:58.30   -67:55:05.9   ...             ...              167             31               153             16               190             16               ...           ...            44.5           1.5             29.0          2.9            ...         ...          10.0         1.0           ...           ...            2.40         0.36          ...           ...            ...           ...            -0.94    0.12        7        
  050410-711842    05:04:10.80   -71:18:42.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            12.50          0.90            8.84          0.91           ...         ...          2.99         0.42          ...           ...            ...          ...           ...           ...            ...           ...            -0.83    0.11        3        
  050418-635002    05:04:18.14   -63:50:02.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            22.4           1.1             15.2          1.5            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.77    0.31        2        
  050422-713517    05:04:22.90   -71:35:17.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.27          0.41           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050424-675902    05:04:24.98   -67:59:02.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            14.9           1.4             8.92          0.98           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.01    0.54        2        
  050427-694232    05:04:27.48   -69:42:32.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             6.96          0.79           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050429-670220    05:04:29.69   -67:02:20.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            7.30           0.90            6.59          0.70           ...         ...          2.61         0.55          ...           ...            ...          ...           ...           ...            ...           ...            -0.62    0.16        3        
  050429-741604    05:04:29.38   -74:16:04.4   ...             ...              ...             ...              ...             ...              69              16               ...           ...            7.8            1.0             6.43          0.66           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.29    0.54        3        
  050432-700121    05:04:32.30   -70:01:21.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.62          0.70           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050436-695834    05:04:36.77   -69:58:34.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.7            1.0             8.34          0.88           ...         ...          2.82         0.66          ...           ...            ...          ...           ...           ...            ...           ...            -0.69    0.18        3        
  050438-662606    05:04:38.47   -66:26:06.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.98          0.43           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  051537-672128    05:15:37.37   -67:21:28.4   2484            95               3035            46               3302            22               3450            17               3770          110            2400           72              1410          140            626         33           573          57            634           32             306          31            374           19             176.0         9.0            -0.535   0.034       10       
  050440-675711    05:04:40.39   -67:57:11.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.7           1.3             5.33          0.72           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.55    0.62        2        
  050442-643144    05:04:42.55   -64:31:44.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.4           1.3             10.7          1.2            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.13    0.59        2        
  050453-701254    05:04:53.76   -70:12:54.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.75          0.60           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050507-710534    05:05:07.68   -71:05:34.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.30           0.80            5.24          0.56           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.91    0.42        2        
  050511-654017    05:05:11.52   -65:40:17.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.82          0.58           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050516-692039    05:05:16.63   -69:20:39.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.72          0.56           ...         ...          5.90         0.65          ...           ...            2.67         0.27          ...           ...            ...           ...            -0.235   0.060       3        
  050521-711635    05:05:21.67   -71:16:35.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            12.40          0.90            8.74          0.89           ...         ...          5.61         0.77          ...           ...            ...          ...           ...           ...            ...           ...            -0.43    0.13        3        
  050527-704612    05:05:27.94   -70:46:12.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            12.90          0.90            10.3          1.1            ...         ...          4.13         0.58          ...           ...            ...          ...           ...           ...            ...           ...            -0.67    0.12        3        
  050531-651645    05:05:31.34   -65:16:45.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            14.8           1.1             8.92          0.92           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.00    0.41        2        
  050539-684948    05:05:39.67   -68:49:48.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            7.10           0.90            6.50          0.78           ...         ...          2.06         0.24          ...           ...            2.51         0.26          ...           ...            ...           ...            -0.549   0.085       4        
  045107-674958    04:51:07.51   -67:49:58.8   ...             ...              197             30               208             19               151             15               ...           ...            38.7           1.7             27.3          2.7            ...         ...          7.83         0.81          ...           ...            2.97         0.41          ...           ...            ...           ...            -0.97    0.11        7        
  050549-650846    05:05:49.27   -65:08:46.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            7.3            1.0             5.10          0.56           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.71    0.56        2        
  050549-694516    05:05:49.27   -69:45:16.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.35          0.50           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050549-700026    05:05:49.18   -70:00:26.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.3           1.0             8.82          0.92           ...         ...          4.34         0.56          ...           ...            ...          ...           ...           ...            ...           ...            -0.51    0.13        3        
  050550-730727    05:05:50.30   -73:07:27.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.01          0.45           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050551-695117    05:05:51.89   -69:51:16.6   700             110              624             42               537             22               465             17               ...           ...            153.2          4.7             106           11             77.0        8.0          56.7         5.7           50.0          3.0            38.1         3.8           50.0          3.0            51.0          3.0            -0.575   0.081       9        
  050558-694800    05:05:58.13   -69:48:00.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.49          0.56           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050602-720202    05:06:02.81   -72:02:02.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            6.80           0.80            3.97          0.44           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.06    0.47        2        
  050612-680916    05:06:12.62   -68:09:16.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            18.9           1.5             10.9          1.3            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.10    0.54        2        
  050620-642838    05:06:20.28   -64:28:39.0   ...             ...              138             21               143             14               111             15               ...           ...            14.4           1.1             12.4          1.4            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.13    0.20        5        
  050624-694426    05:06:24.91   -69:44:26.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            7.70           0.80            5.72          0.62           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.59    0.44        2        
  051031-742008    05:10:31.06   -74:20:08.9   273             44               241             25               238             17               153             12               ...           ...            40.7           2.4             15.3          1.5            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.04    0.20        6        
  044710-675049    04:47:10.75   -67:50:49.6   ...             ...              240             27               215             15               166             13               ...           ...            69.4           2.2             46.0          4.6            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.67    0.16        5        
  050626-641503    05:06:26.23   -64:15:03.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.80           0.90            7.98          0.82           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.40    0.43        2        
  050632-652010    05:06:32.16   -65:20:11.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.60           0.80            6.47          0.67           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.78    0.39        2        
  050638-685751    05:06:38.71   -68:57:51.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            6.80           0.80            7.35          0.84           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            0.15     0.49        2        
  050641-682013    05:06:41.64   -68:20:13.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.4           1.1             10.1          1.1            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.55    0.47        2        
  050641-683838    05:06:41.50   -68:38:38.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.8            1.3             7.18          0.91           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.61    0.67        2        
  050654-642342    05:06:54.07   -64:23:42.7   212             47               196             23               177             14               146             14               ...           ...            44.1           1.6             26.0          2.6            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.79    0.23        6        
  050655-713216    05:06:55.06   -71:32:16.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.20          0.90            8.97          0.91           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.76    0.36        2        
  050657-683050    05:06:57.07   -68:30:50.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.30          0.90            8.54          0.95           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.55    0.44        2        
  050704-694336    05:07:04.18   -69:43:36.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.16          0.56           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050710-725421    05:07:10.70   -72:54:21.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.5            1.3             5.58          0.58           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.83    0.65        2        
  050108-673210    05:01:08.71   -67:32:10.3   ...             ...              256             37               177             17               197             18               ...           ...            62.0           2.1             46.6          4.7            ...         ...          26.7         2.7           ...           ...            18.3         1.9           ...           ...            ...           ...            -0.61    0.10        7        
  050713-662712    05:07:13.13   -66:27:12.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            19.1           1.5             8.08          0.84           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.70    0.47        2        
  050714-650438    05:07:14.76   -65:04:37.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            7.90           0.90            6.18          0.65           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.49    0.48        2        
  050715-724215    05:07:15.17   -72:42:15.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            15.4           1.3             7.04          0.72           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.55    0.46        2        
  050717-675248    05:07:17.54   -67:52:48.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            14.10          0.90            13.3          1.3            ...         ...          4.16         0.46          ...           ...            2.93         0.30          ...           ...            ...           ...            -0.731   0.058       4        
  050718-661250    05:07:18.02   -66:12:50.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             5.08          0.57           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050718-733314    05:07:18.43   -73:33:14.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            6.5            1.1             4.48          0.50           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.74    0.64        2        
  050721-715945    05:07:21.07   -71:59:45.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.10          0.90            9.9           1.0            ...         ...          3.51         0.40          ...           ...            ...          ...           ...           ...            ...           ...            -0.767   0.093       3        
  050724-662103    05:07:24.29   -66:21:03.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            17.3           1.1             10.8          1.1            ...         ...          5.36         0.61          ...           ...            ...          ...           ...           ...            ...           ...            -0.65    0.10        3        
  050731-635342    05:07:31.27   -63:53:42.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            12.0           1.6             8.28          0.90           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.73    0.68        2        
  050732-711223    05:07:32.23   -71:12:23.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.2           1.1             8.64          0.91           ...         ...          4.76         0.57          ...           ...            ...          ...           ...           ...            ...           ...            -0.49    0.13        3        
  044451-674636    04:44:51.17   -67:46:36.5   1518            59               1128            25               946             15               717             13               ...           ...            203.0          6.1             124           12             ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.902   0.063       6        
  050737-653056    05:07:37.90   -65:30:56.2   ...             ...              ...             ...              132             19               70              14               ...           ...            32.9           1.3             24.5          2.5            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.69    0.29        4        
  050743-651410    05:07:43.94   -65:14:10.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             6.61          0.71           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050743-695740    05:07:43.94   -69:57:41.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.70           0.90            8.42          0.87           ...         ...          3.44         0.42          ...           ...            ...          ...           ...           ...            ...           ...            -0.62    0.11        3        
  050755-673211    05:07:55.94   -67:32:11.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.52          0.40           ...         ...          2.31         0.39          ...           ...            ...          ...           ...           ...            ...           ...            -0.34    0.11        2        
  050801-702342    05:08:01.22   -70:23:42.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.91          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050806-645124    05:08:06.07   -64:51:24.9   ...             ...              ...             ...              104             14               83              14               ...           ...            27.6           1.3             15.0          1.5            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.85    0.26        4        
  050806-723928    05:08:06.07   -72:39:28.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.1           1.2             5.22          0.55           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.49    0.52        2        
  050807-673007    05:08:07.10   -67:30:07.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.32          0.39           ...         ...          1.87         0.60          ...           ...            ...          ...           ...           ...            ...           ...            -0.46    0.16        2        
  050810-643139    05:08:10.49   -64:31:39.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            12.40          0.90            8.83          0.91           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.67    0.38        2        
  050810-721056    05:08:10.85   -72:10:55.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.1           1.1             6.49          0.68           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.06    0.48        2        
  043102-675555    04:31:02.86   -67:55:55.2   ...             ...              171             35               173             22               161             16               ...           ...            50.6           1.8             34.3          3.4            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.70    0.26        5        
  050811-625921    05:08:11.66   -62:59:21.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            23.3           1.3             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050824-690458    05:08:24.62   -69:04:58.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            19.6           1.1             15.6          1.7            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.44    0.40        2        
  050826-673939    05:08:26.86   -67:39:39.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.57          0.68           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050827-674601    05:08:27.12   -67:46:01.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.50           0.80            9.45          0.97           ...         ...          5.85         0.76          ...           ...            ...          ...           ...           ...            ...           ...            -0.30    0.13        3        
  050827-702131    05:08:27.02   -70:21:31.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.40           0.80            6.68          0.70           ...         ...          1.97         0.45          ...           ...            ...          ...           ...           ...            ...           ...            -0.86    0.13        3        
  050831-650835    05:08:31.49   -65:08:35.1   ...             ...              ...             ...              106             20               71              14               ...           ...            17.1           1.0             14.2          1.4            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.94    0.33        4        
  050839-641009    05:08:39.77   -64:10:09.9   ...             ...              162             27               170             18               ...             ...              ...           ...            30.3           1.2             20.4          2.0            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.90    0.25        4        
  050845-715122    05:08:45.02   -71:51:22.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.8           1.4             8.06          0.96           ...         ...          3.13         0.46          ...           ...            3.06         0.48          ...           ...            ...           ...            -0.59    0.12        4        
  050846-721858    05:08:46.01   -72:18:58.3   ...             ...              210             46               168             23               122             19               ...           ...            29.2           3.4             24.6          2.5            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.92    0.30        5        
  050847-660300    05:08:46.99   -66:03:00.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.78          0.44           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054846-661523    05:48:46.66   -66:15:23.4   430             54               323             27               268             13               228             12               ...           ...            75.3           2.4             49.6          5.0            ...         ...          17.2         1.7           ...           ...            9.7          1.1           ...           ...            ...           ...            -0.811   0.080       8        
  050851-694317    05:08:51.96   -69:43:17.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.02          0.53           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050852-695824    05:08:52.94   -69:58:24.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.07          0.21           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050853-631651    05:08:53.59   -63:16:51.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.80          0.90            10.3          1.1            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.28    0.42        2        
  050853-671018    05:08:53.21   -67:10:18.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             6.24          0.67           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050900-673621    05:09:00.84   -67:36:22.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.77          0.49           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050904-660542    05:09:04.97   -66:05:42.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.39          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050904-742547    05:09:04.70   -74:25:46.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.9           1.0             9.50          0.97           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.75    0.38        2        
  050914-652520    05:09:14.09   -65:25:20.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             5.20          0.55           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  050921-692403    05:09:21.94   -69:24:03.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             5.50          0.61           ...         ...          2.40         0.33          ...           ...            ...          ...           ...           ...            ...           ...            -0.666   0.093       2        
  050923-693607    05:09:23.90   -69:36:07.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.3            1.0             4.74          0.55           ...         ...          1.72         0.30          ...           ...            ...          ...           ...           ...            ...           ...            -0.88    0.13        3        
