# Name            20cm_box   20cm_blended   20cm_dbl_ext   20cm_confused   MACHO_det   WISE_det   MCELS_det   Koz1_det   Koz3_det   SixDf_det  
  041605-724149   true       false          false          false           false       true       false       false      false      false      
  041606-701442   false      false          false          false           false       false      false       false      false      false      
  041614-735009   true       false          false          false           false       false      false       false      false      false      
  041621-712847   true       false          false          false           false       false      false       false      false      false      
  041623-722741   true       false          false          false           false       true       false       false      false      false      
  041625-734909   true       false          true           false           false       false      false       false      false      false      
  041637-713928   true       false          false          false           false       true       false       false      false      false      
  041640-732040   true       false          false          false           false       false      false       false      false      false      
  041648-705540   true       false          false          false           false       false      false       false      false      false      
  041651-713656   true       false          false          false           false       false      false       false      false      false      
  041655-722342   true       false          false          false           false       false      false       false      false      false      
  041655-705354   true       false          false          false           false       false      false       false      false      false      
  041656-741214   false      false          false          false           false       true       false       false      false      false      
  041705-724543   true       false          false          false           false       false      false       false      false      false      
  041706-721557   true       false          false          false           false       false      false       false      false      false      
  041706-734705   true       false          false          false           false       false      false       false      false      false      
  041709-720435   true       false          false          false           false       false      false       false      false      false      
  041710-715551   true       false          false          false           false       false      false       false      false      false      
  041714-712155   true       false          false          false           false       true       false       false      false      false      
  041715-702242   false      false          false          false           false       false      false       false      false      false      
  041725-701849   false      false          true           false           false       false      false       false      false      false      
  041727-700916   false      false          false          false           false       false      false       false      false      false      
  041728-711357   true       false          false          false           false       false      false       false      false      false      
  041729-712705   true       false          false          false           false       true       false       false      false      false      
  041737-721101   true       false          false          false           false       false      false       false      false      false      
  041739-721901   true       false          false          false           false       true       false       false      false      false      
  041746-720908   true       false          false          false           false       false      false       false      false      false      
  041750-695558   false      false          false          false           false       true       false       false      false      false      
  041750-732120   true       false          false          false           false       true       false       false      false      false      
  041753-731556   true       false          true           false           false       false      false       false      false      false      
  041754-710945   true       false          false          false           false       false      false       false      false      false      
  041757-710214   true       false          false          false           false       false      false       false      false      false      
  041800-722152   true       false          false          false           false       false      false       false      false      false      
  041802-734825   true       false          false          false           false       false      false       false      false      false      
  041802-721520   true       false          false          false           false       true       false       false      false      false      
  041810-714216   true       false          false          false           false       false      false       false      false      false      
  041812-705127   true       false          false          false           false       false      false       false      false      false      
  041813-733408   true       false          false          false           false       true       false       false      false      false      
  041816-712452   true       false          false          false           false       true       false       false      false      false      
  041817-731302   true       false          false          false           false       false      false       false      false      false      
  041820-733133   true       false          false          false           false       true       false       false      false      false      
  041824-724354   true       false          false          false           false       false      false       false      false      false      
  041827-724117   true       false          false          false           false       false      false       false      false      false      
  041834-700123   false      false          false          false           false       false      false       false      false      false      
  041835-724546   true       false          false          false           false       false      false       false      false      false      
  041842-712309   true       false          false          false           false       false      false       false      false      false      
  041842-730922   true       false          false          false           false       false      false       false      false      false      
  041846-722627   true       false          false          false           false       true       false       false      false      false      
  041852-714953   true       false          false          false           false       false      false       false      false      false      
  041853-725119   true       false          false          false           false       false      false       false      false      false      
  041903-711244   true       false          false          false           false       true       false       false      false      false      
  041903-721218   true       false          false          false           false       true       false       false      false      false      
  041905-683719   false      false          false          false           false       false      false       false      false      false      
  041905-730711   true       false          false          false           false       true       false       false      false      false      
  041908-704824   true       false          false          false           false       false      false       false      false      false      
  041909-710551   true       false          false          false           false       false      false       false      false      false      
  041916-714547   true       false          false          false           false       false      false       false      false      false      
  041923-724813   true       false          false          false           false       true       false       false      false      false      
  041925-710053   true       false          false          false           false       false      false       false      false      false      
  041927-725145   true       false          false          false           false       false      false       false      false      false      
  041931-703918   true       false          false          false           false       false      false       false      false      false      
  041931-704906   true       false          false          false           false       false      false       false      false      false      
  041935-695943   true       false          false          false           false       true       false       false      false      false      
  041938-701541   true       false          false          false           false       true       false       false      false      false      
  041939-711430   true       false          false          false           false       false      false       false      false      false      
  041943-685144   false      false          false          false           false       true       false       false      false      false      
  041944-715219   true       false          false          false           false       true       false       false      false      false      
  041944-712730   true       false          false          false           false       true       false       false      false      false      
  041948-730036   true       false          false          false           false       true       false       false      false      false      
  041954-692154   false      false          false          false           false       true       false       false      false      false      
  042001-711144   true       false          false          false           false       true       false       false      false      false      
  042002-705927   true       false          false          false           false       true       false       false      false      false      
  042006-703236   true       false          false          false           false       true       false       false      false      false      
  042009-702946   true       false          false          false           false       true       false       false      false      false      
  042009-723748   true       false          false          false           false       false      false       false      false      false      
  042010-701620   true       false          false          false           false       false      false       false      false      false      
  042012-684122   false      false          false          false           false       false      false       false      false      false      
  042022-725320   true       false          false          false           false       false      false       false      false      false      
  042023-705603   true       false          false          false           false       true       false       false      false      false      
  042027-714841   true       false          false          false           false       false      false       false      false      false      
  042028-725935   true       false          false          false           false       false      false       false      false      false      
  042029-695720   true       false          false          false           false       false      false       false      false      false      
  042032-704442   true       false          false          false           false       false      false       false      false      false      
  042034-704958   true       false          false          false           false       false      false       false      false      false      
  042034-693818   true       false          false          false           false       false      false       false      false      false      
  042045-682551   false      false          false          false           false       false      false       false      false      false      
  042046-694724   true       false          false          false           false       true       false       false      false      false      
  042051-692840   true       false          false          false           false       true       false       false      false      false      
  042053-712933   true       false          false          false           false       false      false       false      false      false      
  042056-715651   true       false          false          false           false       true       false       false      false      false      
  042108-704517   true       false          false          false           false       false      false       false      false      false      
  042113-704146   true       false          false          false           false       true       false       false      false      false      
  042113-730211   true       false          false          false           false       false      false       false      false      false      
  042116-721505   true       false          false          false           false       true       false       false      false      false      
  042117-694634   true       false          false          false           false       false      false       false      false      false      
  042118-712218   true       false          false          false           false       true       false       false      false      false      
  042120-712847   true       false          false          false           false       false      false       false      false      false      
  042126-691302   true       false          false          false           false       true       false       false      false      false      
  042134-694446   true       false          false          false           false       false      false       false      false      false      
