# col1   Name            RA            DEC            Peak        Peak_err        Flux        Flux_err        rms  
  434    045519-652713   04:55:18.75   -65:27:11.93   18.0        ...             18.0        2               0.75     
  435    045519-723844   04:55:18.89   -72:38:58.01   6.0         ...             6.7         0.7             1.0      
  436    045520-660706   04:55:20.94   -66:07:02.43   5.0         ...             5.9         0.6             0.59     
  437    045529-692451   04:55:28.30   -69:24:50.48   36.0        1               41.2        0.2             1.14     
  438    045529-682530   04:55:29.77   -68:25:30.66   5.0         ...             5.1         0.5             0.66     
  439    045530-720442   04:55:30.21   -72:04:41.86   18.0        ...             18.0        2               0.7      
  440    045531-701706   04:55:34.69   -70:17:15.57   3.0         ...             3.1         0.3             0.55     
  441    045532-693542   04:55:32.28   -69:35:42.80   94.0        ...             98.9        0.3             0.72     
  442    045540-703249   04:55:39.35   -70:32:51.58   4.0         ...             4.2         0.4             0.61     
  443    045542-690630   04:55:41.83   -69:06:28.37   92.0        ...             108.5       0.5             0.94     
  444    045545-722947   04:55:45.20   -72:29:40.37   7.0         ...             7.2         0.7             0.81     
  445    045546-694830   04:55:45.67   -69:48:29.47   219.0       ...             278.9       0.4             0.62     
  446    045548-683054   04:55:45.57   -68:30:53.77   3.0         ...             3.8         0.4             0.72     
  447    045551-690209   04:55:51.33   -69:02:08.20   66.0        ...             86.9        0.3             0.53     
  448    045559-680817   04:55:58.10   -68:08:15.36   12.0        2               12.2        0.2             0.88     
  449    045559-693327   04:56:00.63   -69:33:32.74   47.0        ...             47.0        5               0.93     
  450    045600-664627   04:56:00.56   -66:46:25.95   7.0         ...             7.7         0.8             0.62     
  451    045602-695222   04:56:01.71   -69:52:21.37   8.2         0.7             8.25        0.07            0.71     
  452    045603-694248   04:56:02.56   -69:42:50.84   44.0        ...             45.7        0.3             0.62     
  453    045605-665111   04:56:04.90   -66:51:10.65   47.0        ...             52.3        0.2             0.51     
  454    045606-655846   04:56:05.77   -65:58:42.02   8.0         1               7.7         0.1             0.64     
  455    045608-701434   04:56:08.40   -70:14:33.06   190.0       0.6             156.97      0.06            0.6      
  456    045610-692331   04:56:09.73   -69:23:20.84   6.0         ...             6.4         0.6             1.23     
  457    045611-680939   04:56:11.39   -68:09:33.86   10.0        ...             10.0        1               0.99     
  458    045612-720456   04:56:12.09   -72:04:59.61   12.0        1               11.6        0.1             0.67     
  459    045614-702553   04:56:13.87   -70:25:44.48   31.0        2               41.6        0.5             0.56     
  460    045617-711324   04:56:16.69   -71:13:22.95   30.0        ...             38.0        0.3             0.62     
  461    045618-683432   04:56:19.72   -68:34:43.75   5.0         ...             5.2         0.5             0.78     
  462    045618-684949   04:56:18.46   -68:49:48.10   79.0        2               79.5        0.3             0.53     
  463    045621-671302   04:56:21.45   -67:13:02.08   35.0        2               40.0        0.4             0.65     
  464    045622-682509   04:56:24.66   -68:25:14.05   4.0         ...             4.8         0.5             0.97     
  465    045630-672252   04:56:30.99   -67:22:51.83   14.0        ...             14.0        1               0.52     
  466    045630-680924   04:56:31.13   -68:09:13.65   6.0         ...             6.2         0.6             0.88     
  467    045633-682333   04:56:33.98   -68:23:33.15   9.0         1               8.6         0.1             1.07     
  468    045634-693742   04:56:33.04   -69:37:39.06   18.1        0.7             31.5        0.2             0.74     
  469    045639-660713   04:56:37.43   -66:07:23.92   3.0         ...             3.0         ...             0.53     
  470    045640-671448   04:56:40.64   -67:14:48.16   5.0         ...             5.0         ...             0.65     
  471    045642-651236   04:56:41.90   -65:12:23.16   5.0         ...             5.3         0.5             0.88     
  472    045646-700922   04:56:41.04   -70:09:34.30   7.0         ...             7.5         0.7             0.55     
  473    045646-681436   04:56:46.63   -68:14:31.46   15.0        2               14.5        0.2             0.88     
  474    045649-702748   04:56:49.29   -70:27:46.49   12.0        ...             13.0        1               0.56     
  475    045650-722308   04:56:47.07   -72:23:09.12   4.0         ...             4.9         0.5             0.81     
  476    045651-650212   04:56:51.69   -65:01:59.18   10.0        ...             10.0        1               0.95     
  477    045653-651000   04:56:53.53   -65:10:01.54   48.0        2               48.5        0.4             0.88     
  478    045655-681257   04:56:54.53   -68:12:54.07   20.0        2               20.0        0.2             0.88     
  479    045656-684032   04:56:56.49   -68:40:34.14   6.0         1               6.2         0.1             0.73     
  480    045657-713530   04:56:55.81   -71:35:40.06   3.0         ...             3.0         ...             0.72     
  481    045657-713052   04:57:05.95   -71:30:40.68   8.7         0.5             18.1        0.2             0.56     
  482    045704-664041   04:57:04.68   -66:40:44.27   4.0         ...             4.7         0.5             0.68     
  483    045706-710835   04:57:03.83   -71:08:40.43   4.0         ...             4.4         0.4             0.52     
  484    045706-691211   04:57:05.54   -69:12:00.77   5.3         0.5             29.5        0.6             0.61     
  485    045708-713047   04:57:06.23   -71:30:41.41   8.7         0.6             18.2        0.1             0.56     
  486    045712-671550   04:57:13.08   -67:15:44.69   9.0         ...             9.4         0.9             0.65     
  487    045713-661207   04:57:12.38   -66:12:14.87   8.0         ...             8.0         ...             0.6      
  488    045719-660517   04:57:19.04   -66:05:17.98   3.0         ...             3.8         0.4             0.61     
  489    045720-672008   04:57:21.63   -67:20:30.76   8.0         ...             8.8         0.9             0.52     
  490    045720-673450   04:57:20.74   -67:34:47.45   6.0         1               6.2         0.1             0.65     
  491    045726-682914   04:57:25.97   -68:29:12.84   15.0        1               15.0        0.1             0.64     
  492    045726-660257   04:57:27.88   -66:03:04.24   4.0         1               3.9         0.1             0.52     
  493    045742-691445   04:57:39.02   -69:14:35.24   5.0         ...             5.9         0.6             0.57     
  494    045743-661526   04:57:42.64   -66:15:23.57   7.0         1               6.6         0.1             0.94     
  495    045746-691935   04:57:46.70   -69:19:31.22   108.0       ...             134.0       0.6             0.57     
  496    045747-691614   04:57:48.65   -69:16:10.45   14.0        ...             14.0        1               0.57     
  497    045747-671102   04:57:46.89   -67:10:42.76   4.0         ...             4.6         0.5             0.65     
  498    045757-713243   04:57:57.41   -71:32:41.77   13.4        0.6             21.5        0.1             0.57     
  499    045803-723444   04:58:03.47   -72:34:43.69   35.0        3               32.4        0.6             0.81     
  500    045806-722557   04:58:07.85   -72:25:55.37   16.6        0.8             39.0        0.3             0.81     
  501    045811-683843   04:58:11.02   -68:38:43.40   2.0         ...             3.0         0.3             0.47     
  502    045813-722850   04:58:13.12   -72:28:49.85   36.0        2               41.3        0.5             0.81     
  503    045813-693728   04:58:11.64   -69:37:26.43   28.0        ...             29.0        3               0.62     
  504    045814-655830   04:58:14.88   -65:58:18.97   4.0         ...             4.0         0.4             0.6      
  505    045815-674953   04:58:16.94   -67:49:36.08   9.0         ...             9.1         0.9             0.83     
  506    045815-672409   04:58:15.53   -67:24:00.48   3.0         ...             3.0         ...             0.5      
  507    045816-703158   04:58:16.76   -70:32:09.24   8.0         ...             8.8         0.9             0.75     
  508    045816-692655   04:58:17.05   -69:26:56.86   5.0         ...             5.0         ...             0.73     
  509    045819-690315   04:58:19.52   -69:03:14.90   13.0        2               23.0        1               0.7      
  510    045820-661420   04:58:19.47   -66:14:18.81   20.0        1               19.8        0.1             0.61     
  511    045820-672813   04:58:22.06   -67:28:04.65   3.0         ...             3.4         0.3             0.61     
  512    045823-685754   04:58:23.00   -68:57:54.78   21.0        2               23.4        0.5             0.7      
  513    045823-670750   04:58:23.93   -67:07:50.04   7.0         1               6.9         0.1             0.65     
  514    045824-702307   04:58:20.72   -70:23:09.57   5.0         ...             5.1         0.5             0.75     
  515    045826-680927   04:58:26.70   -68:09:26.68   18.0        ...             18.0        2               0.95     
  516    045832-665839   04:58:32.81   -66:58:35.29   8.0         2               22.5        0.5             0.5      
  517    045835-654855   04:58:35.31   -65:48:55.24   16.0        ...             16.0        2               0.63     
  518    045837-671244   04:58:37.17   -67:12:42.06   99.0        2               106.3       0.3             0.57     
  519    045844-665740   04:58:44.05   -66:57:38.51   110.0       2               126.6       0.4             0.5      
  520    045844-655915   04:58:43.71   -65:59:04.85   6.0         ...             6.1         0.6             0.6      
  521    045845-725024   04:58:45.14   -72:50:24.17   160.0       ...             156.3       0.5             0.91     
  522    045845-682920   04:58:45.47   -68:29:17.14   8.0         ...             8.1         0.8             0.64     
  523    045846-670538   04:58:46.28   -67:05:37.31   84.0        ...             113.7       0.4             0.57     
  524    045847-700346   04:58:46.94   -70:03:44.97   15.0        1               15.3        0.1             0.68     
  525    045847-661630   04:58:47.75   -66:16:29.87   46.0        2               51.6        0.4             0.61     
  526    045848-711440   04:58:48.35   -71:14:38.13   20.0        2               25.0        0.4             0.52     
  527    045852-705628   04:58:50.54   -70:56:28.27   6.0         ...             7.0         0.7             0.48     
  528    045853-704528   04:58:52.43   -70:45:32.15   9.0         1               9.5         0.1             0.56     
  529    045854-661411   04:58:54.93   -66:14:11.97   3.0         ...             3.2         0.3             0.61     
  530    045856-695403   04:58:56.25   -69:54:04.62   9.0         1               9.2         0.1             0.68     
  531    045857-681428   04:58:56.96   -68:14:31.38   7.0         ...             7.5         0.8             0.84     
  532    045859-714003   04:58:59.72   -71:40:04.14   6.0         1               6.3         0.1             0.58     
  533    045859-670111   04:58:58.98   -67:01:11.75   17.0        2               20.5        0.4             0.51     
  534    045903-693202   04:59:03.49   -69:31:50.12   10.0        ...             10.0        1               0.82     
  535    045905-681623   04:59:05.77   -68:16:36.15   5.0         ...             5.5         0.5             0.95     
  536    045907-685718   04:59:07.78   -68:57:14.62   7.0         ...             7.9         0.8             0.55     
  537    045909-703913   04:59:09.58   -70:39:13.40   10.0        1               10.3        0.1             0.56     
  538    045909-660655   04:59:09.52   -66:06:52.64   19.0        ...             19.0        2               0.61     
  539    045909-661600   04:59:07.96   -66:16:19.06   4.0         ...             4.1         0.4             0.61     
  540    045916-660948   04:59:16.50   -66:09:42.82   7.0         ...             7.6         0.8             0.61     
  541    045920-645438   04:59:20.27   -64:54:25.31   5.0         ...             5.0         ...             0.94     
  542    045926-704748   04:59:25.83   -70:47:51.76   13.0        1               13.3        0.1             0.56     
  543    045928-692708   04:59:29.12   -69:27:07.91   19.0        ...             19.0        2               0.82     
  544    045935-702237   04:59:35.95   -70:22:40.86   7.0         0.6             26.0        0.7             0.75     
  545    045940-695504   04:59:39.96   -69:55:04.25   165.0       ...             217.1       0.4             0.68     
  546    045940-684427   04:59:40.81   -68:44:27.54   4.6         0.8             4.58        0.08            0.41     
  547    045946-664137   04:59:46.18   -66:41:35.84   21.0        1               21.6        0.3             0.48     
  548    045948-692408   04:59:48.95   -69:24:04.62   28.0        ...             29.0        3               0.82     
  549    045954-710739   04:59:54.70   -71:07:36.23   52.0        ...             71.5        0.3             0.58     
  550    045955-685507   04:59:56.72   -68:55:07.92   7.0         ...             7.0         0.7             0.5      
  551    045956-683544   04:59:56.07   -68:35:45.89   5.0         ...             5.2         0.5             0.41     
  552    045957-701941   04:59:55.35   -70:19:42.40   24.0        3               43.4        0.8             0.74     
  553    045958-722411   04:59:58.20   -72:24:11.42   51.0        ...             71.0        0.5             0.86     
  554    050000-712251   05:00:00.90   -71:23:01.25   5.0         ...             5.1         0.5             0.62     
  555    050003-654715   05:00:02.53   -65:47:16.07   6.0         ...             6.0         0.6             0.62     
  556    050006-665413   05:00:07.08   -66:54:14.17   7.2         0.9             7.15        0.09            0.51     
  557    050018-694856   05:00:17.96   -69:48:54.90   18.0        1               17.9        0.1             0.66     
  558    050024-692215   05:00:24.20   -69:22:13.76   10.0        2               10.1        0.2             0.82     
  559    050030-674141   05:00:30.52   -67:41:40.37   81.0        2               86.0        0.4             0.58     
  560    050032-711922   05:00:32.32   -71:19:20.28   17.0        ...             17.0        2               0.58     
  561    050033-652341   05:00:33.09   -65:23:40.99   36.0        ...             66.8        0.6             0.77     
  562    050036-720626   05:00:36.24   -72:06:22.28   134.0       3               155.0       0.6             0.8      
  563    050039-700311   05:00:39.86   -70:03:09.94   15.0        1               15.1        0.1             0.68     
  564    050050-682349   05:00:50.21   -68:23:47.88   7.0         ...             7.4         0.7             0.44     
  565    050050-680346   05:00:50.61   -68:03:44.95   45.0        ...             49.9        0.4             0.74     
  566    050057-671110   05:00:57.59   -67:11:19.39   2.0         ...             2.7         0.3             0.58     
  567    050059-714530   05:00:59.28   -71:45:33.53   17.0        2               18.6        0.4             0.6      
  568    050059-704231   05:00:59.26   -70:42:30.74   11.0        1               10.5        0.1             0.53     
  569    050100-674224   05:01:02.49   -67:42:25.83   6.0         ...             6.2         0.6             0.58     
  570    050102-674702   05:01:02.51   -67:46:58.94   9.0         1               9.4         0.1             0.58     
  571    050102-694314   05:01:02.09   -69:43:14.36   19.0        ...             19.0        2               0.66     
  572    050104-704758   05:01:04.38   -70:47:54.04   5.0         ...             5.4         0.5             0.51     
  573    050104-675019   05:01:04.91   -67:50:17.29   26.0        ...             27.0        3               0.58     
  574    050106-700938   05:01:06.51   -70:09:40.53   9.0         ...             9.5         0.9             0.5      
  575    050107-691750   05:01:07.32   -69:17:34.46   38.0        ...             48.7        0.5             0.87     
  576    050107-650206   05:01:07.62   -65:02:04.59   15.0        1               15.2        0.1             0.74     
  577    050108-673210   05:01:08.73   -67:32:08.45   44.0        ...             44.0        4               0.66     
  578    050113-675529   05:01:12.48   -67:55:32.31   6.0         ...             6.8         0.7             0.74     
  579    050115-653758   05:01:13.39   -65:37:51.60   5.0         ...             5.4         0.5             0.62     
  580    050116-715539   05:01:15.67   -71:55:39.52   17.0        2               21.9        0.6             0.8      
  581    050118-654953   05:01:18.56   -65:49:53.99   8.0         ...             8.2         0.8             0.62     
  582    050118-713356   05:01:17.79   -71:33:55.43   54.0        2               59.2        0.4             0.62     
  583    050119-693849   05:01:18.37   -69:38:45.63   10.0        1               10.1        0.1             0.73     
  584    050119-711910   05:01:20.18   -71:19:03.03   4.0         ...             4.5         0.4             0.58     
  585    050119-650248   05:01:22.38   -65:02:50.57   6.0         1               6.2         0.1             0.74     
  586    050119-660740   05:01:19.85   -66:07:41.37   21.0        2               38.8        0.7             0.64     
  587    050123-684240   05:01:23.06   -68:42:39.59   8.0         ...             8.6         0.9             0.41     
  588    050123-652704   05:01:23.96   -65:27:04.55   6.0         ...             6.8         0.7             0.71     
  589    050134-700204   05:01:35.50   -70:02:02.29   13.0        1               13.4        0.1             0.64     
  590    050137-714218   05:01:37.03   -71:42:18.36   20.0        ...             21.0        2               0.6      
  591    050139-662525   05:01:38.88   -66:25:23.99   88.0        ...             112.4       0.5             0.7      
  592    050139-665353   05:01:39.75   -66:53:52.33   36.0        ...             58.2        0.4             0.53     
  593    050139-714642   05:01:39.28   -71:46:43.46   10.0        1               10.4        0.1             0.6      
  594    050147-664947   05:01:47.49   -66:49:44.99   34.0        ...             38.5        0.3             0.58     
  595    050150-690221   05:01:50.41   -69:02:05.20   22.0        ...             32.1        0.3             0.5      
  596    050154-661341   05:01:54.24   -66:13:41.22   5.0         ...             5.0         ...             0.62     
  597    050159-680758   05:01:59.42   -68:07:57.05   13.0        1               12.5        0.1             0.62     
  598    050200-693153   05:02:00.94   -69:31:52.76   905.0       ...             1238.0      1               1.11     
  599    050203-710050   05:02:03.08   -71:00:48.59   18.0        1               20.7        0.3             0.47     
  600    050205-681622   05:02:04.62   -68:16:28.28   6.0         ...             6.4         0.6             0.62     
  601    050206-651844   05:02:06.43   -65:18:47.93   8.0         ...             8.4         0.8             0.62     
  602    050210-681204   05:02:10.23   -68:12:03.96   26.0        ...             27.0        3               0.62     
  603    050210-664707   05:02:10.60   -66:47:07.32   7.0         ...             7.2         0.7             0.58     
  604    050213-662521   05:02:13.20   -66:25:24.34   5.5         0.6             5.52        0.06            0.55     
  605    050214-655037   05:02:14.23   -65:50:36.48   50.0        ...             90.6        0.5             0.6      
  606    050218-672653   05:02:18.31   -67:26:57.64   5.0         ...             5.8         0.6             0.66     
  607    050219-715104   05:02:19.12   -71:51:03.29   20.0        ...             20.0        2               0.58     
  608    050219-700822   05:02:19.05   -70:08:18.62   25.0        2               30.3        0.4             0.5      
  609    050220-650448   05:02:21.33   -65:04:56.18   4.0         ...             4.0         ...             0.6      
  610    050221-701829   05:02:23.87   -70:18:22.93   5.0         ...             5.7         0.6             0.5      
  611    050227-655710   05:02:27.26   -65:57:09.85   79.0        ...             99.5        0.4             0.82     
  612    050227-684852   05:02:27.47   -68:48:52.58   25.0        2               27.0        0.3             0.46     
  613    050230-651321   05:02:30.33   -65:13:22.50   33.0        2               37.0        0.5             0.65     
  614    050230-663115   05:02:30.74   -66:31:16.28   20.0        2               19.8        0.2             0.7      
  615    050230-670558   05:02:31.82   -67:05:54.37   13.0        ...             13.0        1               0.53     
  616    050235-653409   05:02:33.80   -65:33:59.68   5.0         ...             5.5         0.6             0.7      
  617    050241-712016   05:02:40.51   -71:20:03.41   5.0         ...             5.9         0.6             0.58     
  618    050242-682839   05:02:41.75   -68:28:40.20   12.0        2               15.3        0.4             0.47     
  619    050243-651836   05:02:42.98   -65:18:35.33   49.0        ...             64.7        0.4             0.65     
  620    050243-665030   05:02:43.86   -66:50:28.54   11.0        ...             12.0        1               0.58     
  621    050246-665300   05:02:46.14   -66:52:53.58   15.0        ...             16.0        2               0.53     
  622    050249-715228   05:02:47.84   -71:52:35.96   8.0         ...             8.6         0.9             0.87     
  623    050249-695153   05:02:47.13   -69:51:58.92   4.0         ...             4.0         ...             0.59     
  624    050249-675016   05:02:49.29   -67:50:15.17   32.0        ...             39.3        0.3             0.58     
  625    050250-724509   05:02:49.26   -72:45:01.95   7.0         ...             7.1         0.7             1.09     
  626    050253-705751   05:02:53.29   -70:57:50.01   16.0        ...             16.0        2               0.56     
  627    050256-684752   05:02:55.40   -68:47:53.69   4.0         ...             4.7         0.5             0.46     
  628    050258-675806   05:02:58.45   -67:58:06.36   225.0       1               261.9       0.1             0.78     
  629    050301-681325   05:03:01.16   -68:13:26.21   9.0         1               8.9         0.1             0.54     
  630    050303-703439   05:03:03.25   -70:34:34.17   10.0        1               10.0        0.1             0.55     
  631    050304-663346   05:03:03.28   -66:33:45.03   17.0        1               16.8        0.1             0.7      
  632    050304-693052   05:03:04.42   -69:30:46.64   21.0        3               52.0        2               1.11     
  633    050304-661924   05:03:04.72   -66:19:12.88   5.0         ...             5.3         0.5             0.62     
  634    050306-695246   05:03:06.21   -69:52:50.12   9.0         ...             9.1         0.9             0.64     
  635    050309-671037   05:03:09.82   -67:10:32.63   6.0         1               5.9         0.1             0.65     
  636    050310-670233   05:03:10.25   -67:02:31.04   18.0        ...             31.5        0.4             0.53     
  637    050311-704854   05:03:11.14   -70:48:54.59   8.0         1               7.7         0.1             0.73     
  638    050313-703125   05:03:12.28   -70:31:12.34   3.0         ...             3.8         0.4             0.5      
  639    050321-721722   05:03:21.35   -72:17:09.75   16.0        2               16.1        0.2             0.86     
  640    050327-653733   05:03:27.60   -65:37:32.16   44.0        ...             60.1        0.4             0.6      
  641    050334-653215   05:03:32.90   -65:32:26.00   8.0         ...             8.3         0.8             0.7      
  642    050334-703549   05:03:33.38   -70:35:48.77   14.0        1               14.5        0.1             0.5      
  643    050336-691613   05:03:36.04   -69:16:15.57   9.0         1               9.0         0.1             0.66     
  644    050337-712735   05:03:36.56   -71:27:23.35   4.0         ...             4.2         0.4             0.54     
  645    050338-690323   05:03:38.83   -69:03:12.61   6.0         ...             6.0         ...             0.66     
  646    050340-673535   05:03:40.78   -67:35:32.91   9.0         ...             10.0        1               0.91     
  647    050342-704915   05:03:42.86   -70:49:13.25   23.0        ...             23.0        2               0.73     
  648    050342-680659   05:03:44.12   -68:06:37.62   4.0         ...             4.3         0.4             0.84     
  649    050344-723703   05:03:45.49   -72:37:03.84   22.0        ...             22.0        2               1.15     
  650    050348-671818   05:03:49.85   -67:18:13.81   10.0        2               49.0        2               0.77     
  651    050348-700358   05:03:47.28   -70:03:52.66   6.0         ...             6.3         0.6             0.68     
  652    050349-663254   05:03:50.25   -66:32:32.42   4.0         ...             4.8         0.5             0.57     
  653    050355-672041   05:03:56.91   -67:20:37.96   5.0         ...             5.2         0.5             0.76     
  654    050356-671841   05:03:49.85   -67:18:13.81   10.0        2               49.0        2               0.77     
  655    050356-675731   05:03:56.67   -67:57:26.65   16.0        ...             16.0        2               0.84     
  656    050356-700219   05:03:56.09   -70:02:19.39   52.0        ...             59.5        0.3             0.68     
  657    050358-655334   05:03:57.34   -65:53:35.33   9.0         ...             9.5         0.9             0.82     
  658    050402-720346   05:04:02.01   -72:03:45.24   108.0       ...             136.5       0.5             0.87     
  659    050406-683545   05:04:06.76   -68:35:43.02   29.0        2               30.1        0.3             0.47     
  660    050407-673329   05:04:08.73   -67:33:13.71   8.0         ...             8.8         0.9             0.91     
  661    050410-711842   05:04:11.13   -71:18:41.82   13.0        1               12.7        0.1             0.58     
  662    050411-670106   05:04:09.54   -67:01:09.79   91.0        2               118.9       0.5             0.61     
  663    050412-713117   05:04:11.14   -71:31:04.99   4.0         ...             4.5         0.4             0.54     
  664    050413-700455   05:04:12.91   -70:04:54.18   59.0        ...             88.9        0.5             0.68     
  665    050411-653209   05:04:15.14   -65:31:50.59   15.0        1               14.5        0.1             0.7      
  666    050422-704347   05:04:21.79   -70:43:52.87   18.0        2               66.0        2               0.73     
  667    050422-713517   05:04:20.29   -71:35:07.93   4.0         ...             4.5         0.5             0.54     
  668    050424-675902   05:04:24.87   -67:58:59.90   11.0        2               10.7        0.2             0.84     
  669    050426-713211   05:04:23.28   -71:31:38.98   5.0         ...             5.3         0.5             0.54     
  670    050427-694232   05:04:27.21   -69:42:33.85   7.0         1               7.0         0.1             0.55     
  671    050428-691102   05:04:28.98   -69:11:02.05   3.0         ...             3.4         0.3             0.67     
  672    050429-670220   05:04:29.88   -67:02:22.76   10.0        1               9.9         0.1             0.61     
  673    050432-700121   05:04:30.57   -70:01:07.72   3.0         ...             3.8         0.4             0.68     
  674    050432-705400   05:04:37.50   -70:54:36.77   32.0        ...             45.4        0.3             0.56     
  675    050436-695834   05:04:37.18   -69:58:28.46   9.0         1               9.5         0.1             0.68     
  676    050438-705440   05:04:37.50   -70:54:36.77   32.0        ...             45.4        0.3             0.56     
  677    050438-662606   05:04:39.97   -66:25:52.25   3.0         ...             3.3         0.3             0.57     
  678    050440-675711   05:04:39.38   -67:56:57.66   6.0         ...             6.6         0.7             0.84     
  679    050447-664030   05:04:47.41   -66:40:30.58   13.0        ...             14.0        1               0.74     
  680    050452-670124   05:04:52.52   -67:01:20.97   35.0        2               47.3        0.5             0.61     
  681    050453-652735   05:04:53.31   -65:27:29.83   5.0         ...             6.0         0.6             0.65     
  682    050453-673704   05:04:54.61   -67:36:18.46   94.0        3               226.0       1               0.91     
  683    050453-701254   05:04:50.91   -70:12:45.62   4.0         ...             4.6         0.5             0.52     
  684    050453-700735   05:04:52.11   -70:07:36.05   23.0        ...             42.7        0.4             0.68     
  685    050456-673602   05:04:54.61   -67:36:18.46   94.0        3               226.0       1               0.91     
  686    050456-704504   05:05:05.20   -70:44:41.71   58.0        2               169.0       1               0.73     
  687    050501-664518   05:05:01.06   -66:45:16.97   248.0       ...             368.4       0.6             0.74     
  688    050505-684003   05:05:04.74   -68:40:03.65   13.0        ...             14.0        1               0.53     
  689    050507-710534   05:05:07.48   -71:05:30.14   9.0         1               8.8         0.1             0.56     
  690    050510-704435   05:05:05.20   -70:44:41.71   58.0        2               169.0       1               0.73     
  691    050511-654017   05:05:09.55   -65:40:05.19   3.0         ...             3.8         0.4             0.72     
  692    050513-714603   05:05:14.86   -71:45:54.81   16.0        ...             16.0        ...             0.67     
  693    050513-685427   05:05:13.32   -68:54:27.78   23.0        ...             24.0        2               0.56     
  694    050516-692039   05:05:18.29   -69:20:50.29   4.0         ...             4.3         0.4             0.67     
  695    050520-665507   05:05:20.84   -66:55:07.02   19.9        0.8             36.7        0.2             0.65     
  696    050521-711635   05:05:21.36   -71:16:33.12   13.0        1               13.0        0.1             0.58     
  697    050524-673435   05:05:24.58   -67:34:34.46   20.0        ...             20.0        2               0.91     
  698    050525-714455   05:05:22.04   -71:44:57.06   6.0         ...             6.0         ...             0.66     
  699    050525-694555   05:05:26.79   -69:45:52.26   4.0         1               4.2         0.1             0.53     
  700    050525-705611   05:05:25.13   -70:56:11.35   19.0        ...             20.0        2               0.56     
  701    050527-704612   05:05:27.25   -70:46:09.46   13.0        ...             14.0        1               0.73     
  702    050528-705356   05:05:27.57   -70:53:56.14   35.0        ...             47.1        0.4             0.56     
  703    050529-665556   05:05:29.80   -66:55:55.03   112.5       0.8             140.9       0.1             0.64     
  704    050531-674250   05:05:30.57   -67:42:52.16   30.0        2               53.2        0.5             0.51     
  705    050531-651645   05:05:31.15   -65:16:45.24   11.0        ...             12.0        1               0.61     
  706    050535-700516   05:05:35.91   -70:05:13.10   116.0       ...             168.1       0.5             0.68     
  707    050539-684948   05:05:40.19   -68:49:54.62   5.0         ...             5.8         0.6             0.53     
  708    050539-710740   05:05:39.22   -71:07:39.14   135.0       2               149.5       0.4             0.5      
  709    050543-665815   05:05:43.20   -66:58:11.35   30.0        ...             36.6        0.3             0.61     
  710    050547-664327   05:05:45.80   -66:43:22.10   61.7        0.6             119.5       0.1             0.66     
  711    050549-700026   05:05:48.92   -70:00:24.99   13.0        1               13.0        0.1             0.68     
  712    050549-650846   05:05:47.75   -65:08:53.31   5.0         ...             5.3         0.5             0.61     
  713    050549-694516   05:05:49.01   -69:45:16.94   4.0         ...             4.3         0.4             0.52     
  714    050551-695117   05:05:53.68   -69:51:15.01   92.8        0.7             135.5       0.2             0.53     
  715    050553-665941   05:05:52.80   -66:59:39.09   10.0        1               9.8         0.1             0.68     
  716    050554-685037   05:05:54.58   -68:50:38.71   37.0        ...             47.8        0.3             0.53     
  717    050558-694800   05:05:59.53   -69:47:54.26   6.0         1               6.2         0.1             0.65     
  718    050559-684737   05:05:58.91   -68:47:35.39   68.0        2               72.7        0.3             0.53     
  719    050602-720202   05:05:59.72   -72:02:06.94   7.0         ...             7.1         0.7             0.78     
  720    050606-710458   05:06:05.13   -71:04:58.33   16.0        ...             18.3        0.2             0.5      
  721    050612-680916   05:06:12.03   -68:09:15.48   13.0        1               12.8        0.1             0.79     
  722    050624-701254   05:06:25.54   -70:12:45.94   4.0         ...             4.8         0.5             0.43     
  723    050624-694426   05:06:24.87   -69:44:24.95   8.0         ...             8.8         0.9             0.65     
  724    050625-704716   05:06:24.16   -70:47:13.63   30.0        2               32.1        0.3             0.49     
  725    050632-652010   05:06:33.74   -65:20:08.79   7.0         ...             7.8         0.8             0.61     
  726    050634-675642   05:06:33.98   -67:56:42.01   78.0        ...             106.2       0.4             0.74     
  727    050638-685751   05:06:38.08   -68:57:55.87   8.0         1               7.7         0.1             0.56     
  728    050641-683838   05:06:40.80   -68:38:38.43   9.0         1               9.0         0.1             0.53     
  729    050641-682013   05:06:40.86   -68:20:12.65   10.0        ...             10.0        1               0.77     
  730    050643-672559   05:06:42.00   -67:25:52.67   13.4        0.6             54.2        0.6             0.63     
  731    050645-711845   05:06:45.10   -71:18:43.31   16.0        2               17.2        0.4             0.56     
  732    050649-670412   05:06:50.25   -67:04:15.50   45.0        ...             69.3        0.5             0.68     
  733    050652-712048   05:06:52.10   -71:20:43.02   7.0         1               7.1         0.1             0.56     
  734    050655-713216   05:06:54.69   -71:32:14.86   14.0        1               14.3        0.1             0.56     
  735    050657-683050   05:06:56.53   -68:30:49.71   12.0        1               12.1        0.1             0.56     
  736    050701-680413   05:07:01.79   -68:04:07.63   7.0         1               7.4         0.1             0.74     
  737    050702-674300   05:07:01.80   -67:42:58.35   16.0        ...             17.0        2               0.51     
  738    050704-694336   05:07:02.97   -69:43:25.42   3.0         ...             3.9         0.4             0.49     
  739    050707-691901   05:07:08.27   -69:18:57.64   6.0         1               6.0         0.1             0.65     
  740    050709-690101   05:07:09.02   -69:00:59.24   44.0        4               47.3        0.7             0.98     
