# col1   Name            RA            DEC            Peak        Peak_err        Flux        Flux_err        rms  
  71     044057-662420   04:40:56.83   -66:24:22.70   879.0       9               882.0       2               1.54     
  72     044059-692907   04:40:58.48   -69:29:05.45   9.0         1               8.9         0.1             0.77     
  73     044101-685432   04:41:01.87   -68:54:32.04   19.0        2               19.4        0.2             0.92     
  74     044105-694537   04:41:04.70   -69:45:38.19   30.8        0.8             50.1        0.2             0.77     
  75     044109-654836   04:41:09.57   -65:48:41.64   12.0        ...             12.0        1               0.8      
  76     044114-694133   04:41:12.67   -69:41:38.34   9.0         ...             9.4         0.9             0.82     
  77     044116-682433   04:41:16.83   -68:24:32.61   25.0        ...             25.0        3               0.94     
  78     044117-704829   04:41:16.04   -70:48:42.80   13.0        2               13.3        0.2             0.97     
  79     044118-695315   04:41:16.74   -69:53:15.18   20.0        ...             20.0        2               0.82     
  80     044125-713445   04:41:25.51   -71:34:46.62   10.0        1               9.5         0.1             0.67     
  81     044129-713755   04:41:29.29   -71:37:53.59   9.0         1               9.2         0.1             0.59     
  82     044129-675948   04:41:28.51   -67:59:44.90   11.0        ...             12.0        1               1.05     
  83     044132-723612   04:41:32.29   -72:36:12.02   17.0        ...             17.0        2               0.82     
  84     044138-712521   04:41:38.06   -71:25:19.61   6.0         1               5.7         0.1             0.67     
  85     044140-721607   04:41:39.98   -72:16:07.21   14.0        1               14.3        0.1             0.71     
  86     044141-700642   04:41:40.99   -70:06:42.93   14.0        2               14.2        0.2             0.89     
  87     044142-694149   04:41:41.01   -69:42:02.45   5.0         ...             5.2         0.5             0.82     
  88     044146-702554   04:41:46.08   -70:25:54.21   80.0        ...             81.0        8               1.14     
  89     044151-691911   04:41:51.78   -69:19:10.55   17.0        ...             17.0        2               0.81     
  90     044157-672541   04:41:57.69   -67:25:40.89   36.0        ...             36.0        4               0.71     
  91     044158-705437   04:41:58.50   -70:54:31.41   5.0         ...             5.6         0.6             0.97     
  92     044159-720237   04:41:58.71   -72:02:38.49   44.0        ...             45.0        0.4             0.81     
  93     044159-700833   04:41:58.78   -70:08:31.97   18.0        ...             19.0        2               0.89     
  94     044201-681842   04:42:01.08   -68:18:41.88   21.0        ...             21.0        2               0.95     
  95     044201-710435   04:42:02.99   -71:04:40.09   5.8         0.5             5.76        0.05            0.57     
  96     044202-692632   04:42:02.30   -69:26:32.32   77.0        ...             88.4        0.4             0.77     
  97     044204-703836   04:42:05.19   -70:38:27.29   15.0        ...             15.0        2               1.14     
  98     044211-713145   04:42:10.68   -71:31:47.05   39.0        ...             53.8        0.3             0.59     
  99     044211-681003   04:42:11.62   -68:10:04.22   88.0        ...             90.3        0.5             0.95     
  100    044214-705459   04:42:14.19   -70:55:00.22   30.0        ...             30.0        3               0.97     
  101    044216-651834   04:42:16.55   -65:18:34.53   34.0        2               34.1        0.2             1.03     
  102    044218-724138   04:42:18.54   -72:41:39.17   23.0        2               23.3        0.2             0.93     
  103    044221-672744   04:42:21.60   -67:27:44.55   66.0        0.7             102.9       0.2             0.72     
  104    044226-714524   04:42:23.44   -71:45:18.06   6.0         ...             6.2         0.6             0.84     
  105    044228-663605   04:42:28.45   -66:36:20.43   9.0         ...             9.1         0.9             0.98     
  106    044229-664854   04:42:29.42   -66:48:53.57   53.0        1               77.7        0.2             0.97     
  107    044231-662000   04:42:31.43   -66:19:59.67   19.0        ...             19.0        2               1.46     
  108    044231-705346   04:42:31.77   -70:53:47.03   39.0        ...             43.0        0.5             0.97     
  109    044238-650012   04:42:38.25   -65:00:17.32   12.0        1               11.8        0.1             1.18     
  110    044243-704020   04:42:43.94   -70:40:29.05   6.0         ...             6.9         0.7             1.14     
  111    044245-681839   04:42:44.69   -68:18:33.60   9.0         ...             9.1         0.9             0.71     
  112    044247-690922   04:42:48.06   -69:09:23.40   12.0        ...             13.0        1               0.8      
  113    044253-650353   04:42:52.21   -65:04:02.70   8.0         ...             8.9         0.9             1.32     
  114    044256-692919   04:42:56.02   -69:29:26.56   9.0         ...             10.0        1               0.59     
  115    044259-701002   04:42:58.86   -70:10:02.53   18.0        2               18.2        0.2             0.89     
  116    044302-700754   04:43:02.54   -70:07:54.84   4.0         ...             4.9         0.5             0.89     
  117    044307-681542   04:43:07.75   -68:15:44.59   11.0        1               11.4        0.1             0.71     
  118    044307-685131   04:43:06.25   -68:51:11.72   3.0         ...             3.4         0.3             0.66     
  119    044315-660248   04:43:15.50   -66:02:48.15   124.0       1               156.8       0.1             0.96     
  120    044318-665204   04:43:18.41   -66:52:05.20   88.0        ...             111.6       0.6             0.92     
  121    044319-671747   04:43:20.39   -67:17:59.40   5.0         ...             5.7         0.6             0.78     
  122    044320-681633   04:43:20.78   -68:16:33.17   4.0         ...             4.4         0.4             0.71     
  123    044322-700521   04:43:22.42   -70:05:23.33   13.0        ...             14.0        1               0.89     
  124    044324-661609   04:43:25.32   -66:16:02.41   10.0        ...             11.0        1               0.81     
  125    044325-675627   04:43:25.22   -67:56:28.18   120.0       2               132.7       0.3             0.76     
  126    044326-652640   04:43:26.15   -65:26:39.85   162.2       0.8             178.9       0.1             0.79     
  127    044327-713300   04:43:26.18   -71:32:59.83   11.0        1               10.8        0.1             0.59     
  128    044327-650632   04:43:27.25   -65:06:32.04   48.0        3               47.6        0.3             1.32     
  129    044327-714746   04:43:27.60   -71:47:44.00   19.0        2               19.2        0.2             0.84     
  130    044328-711543   04:43:27.80   -71:15:51.61   6.0         ...             6.2         0.6             0.53     
  131    044336-681040   04:43:35.40   -68:10:43.63   11.5        0.7             31.0        0.3             0.7      
  132    044337-655709   04:43:37.62   -65:57:03.01   13.0        2               12.7        0.2             0.92     
  133    044338-675603   04:43:38.26   -67:56:06.16   6.0         ...             6.0         0.6             0.76     
  134    044340-705549   04:43:39.34   -70:55:50.36   16.0        1               16.3        0.1             0.6      
  135    044340-702406   04:43:38.75   -70:24:02.40   6.0         ...             6.5         0.7             0.91     
  136    044341-701844   04:43:42.76   -70:18:32.44   4.0         ...             4.0         ...             0.64     
  137    044342-700443   04:43:44.40   -70:04:25.79   4.0         ...             4.6         0.5             0.89     
  138    044343-690002   04:43:43.33   -69:00:01.25   20.0        ...             20.0        2               0.71     
  139    044347-665957   04:43:46.90   -66:59:57.21   15.0        ...             16.0        2               0.81     
  140    044347-651944   04:43:47.01   -65:19:36.40   16.0        2               15.5        0.2             1.03     
  141    044354-711826   04:43:54.72   -71:18:12.77   6.0         ...             6.3         0.6             0.53     
  142    044400-702641   04:44:00.55   -70:26:39.09   8.0         ...             8.7         0.9             0.53     
  143    044402-665133   04:44:02.45   -66:51:32.62   36.0        3               37.0        0.6             0.92     
  144    044405-720739   04:44:05.58   -72:07:44.95   5.0         0.7             5.05        0.07            0.66     
  145    044408-645502   04:44:06.95   -64:55:10.59   12.0        ...             12.0        1               1.32     
  146    044410-710659   04:44:09.93   -71:06:48.41   9.0         ...             9.2         0.9             0.59     
  147    044413-673154   04:44:13.33   -67:31:54.75   42.0        2               53.2        0.6             0.82     
  148    044416-684211   04:44:15.98   -68:42:10.82   149.0       ...             161.3       0.5             0.81     
  149    044417-712856   04:44:18.31   -71:29:05.13   6.0         ...             6.9         0.7             0.59     
  150    044422-644602   04:44:21.83   -64:46:02.11   75.0        ...             128.0       2               1.45     
  151    044430-684805   04:44:29.29   -68:48:18.06   11.0        ...             11.0        1               0.81     
  152    044438-711507   04:44:38.80   -71:15:06.49   59.0        2               65.1        0.4             0.53     
  153    044442-644731   04:44:42.12   -64:47:26.47   31.0        ...             32.0        3               1.45     
  154    044446-723657   04:44:46.48   -72:37:05.80   7.0         ...             7.1         0.7             0.98     
  155    044451-674636   04:44:50.89   -67:46:35.49   189.0       ...             206.3       0.4             0.79     
  156    044455-672937   04:44:54.88   -67:29:37.56   23.0        ...             23.0        2               0.82     
  157    044457-680857   04:44:56.87   -68:08:57.12   30.0        ...             49.7        0.5             0.76     
  158    044458-663549   04:44:58.09   -66:35:47.51   12.0        ...             12.0        1               0.78     
  159    044506-690223   04:45:05.87   -69:02:19.02   10.0        1               10.5        0.1             0.71     
  160    044509-695521   04:45:10.83   -69:55:27.28   8.0         ...             8.1         0.8             0.83     
  161    044511-671726   04:45:10.66   -67:17:33.59   7.0         ...             7.8         0.8             0.73     
  162    044512-722141   04:45:13.49   -72:21:34.69   4.0         ...             5.0         0.5             0.68     
  163    044512-691723   04:45:12.43   -69:17:19.11   31.0        ...             35.2        0.3             0.69     
  164    044512-654707   04:45:12.76   -65:47:08.18   154.0       ...             180.3       0.4             0.79     
  165    044514-655806   04:45:14.83   -65:58:04.78   9.1         0.7             9.12        0.07            0.7      
  166    044515-700010   04:45:14.74   -70:00:02.63   7.0         ...             8.0         0.8             0.88     
  167    044518-701539   04:45:17.15   -70:14:40.32   52.0        2               131.0       1               0.58     
  168    044521-701518   04:45:17.15   -70:14:40.32   52.0        2               131.0       1               0.58     
  169    044524-711105   04:45:22.87   -71:11:13.40   4.0         ...             4.9         0.5             0.6      
  170    044527-683307   04:45:27.47   -68:32:56.08   6.0         ...             6.7         0.7             0.75     
  171    044531-684803   04:45:30.90   -68:48:06.84   5.0         ...             5.5         0.6             0.81     
  172    044532-661429   04:45:32.49   -66:14:29.64   19.0        2               19.1        0.2             0.72     
  173    044534-655933   04:45:34.44   -65:59:19.82   7.0         ...             7.5         0.7             0.92     
  174    044534-705108   04:45:35.02   -70:50:49.03   22.0        0.4             23.3        0.5             0.59     
  175    044534-662540   04:45:34.24   -66:25:39.25   36.0        ...             54.5        0.6             0.72     
  176    044537-685946   04:45:37.08   -68:59:44.95   21.0        ...             22.0        2               0.71     
  177    044541-691220   04:45:40.21   -69:12:25.09   48.0        ...             52.6        0.4             0.69     
  178    044541-681238   04:45:43.27   -68:12:27.91   2.0         ...             2.0         ...             0.5      
  179    044544-652209   04:45:43.95   -65:22:09.26   24.0        2               24.2        0.2             0.98     
  180    044545-685054   04:45:43.32   -68:50:47.95   5.0         ...             5.1         0.5             0.81     
  181    044546-703235   04:45:48.00   -70:32:43.54   4.0         ...             4.5         0.5             0.53     
  182    044547-705236   04:45:46.57   -70:52:39.85   5.0         1               5.5         0.1             0.61     
  183    044549-690508   04:45:48.58   -69:04:59.45   4.0         ...             4.2         0.4             0.71     
  184    044552-685635   04:45:52.39   -68:56:32.96   18.0        1               17.7        0.1             0.81     
  185    044557-682644   04:45:57.65   -68:26:43.57   28.0        2               27.8        0.2             0.59     
  186    044558-661732   04:45:58.09   -66:17:31.51   21.0        ...             22.0        2               0.72     
  187    044559-653509   04:45:58.82   -65:35:02.66   11.0        ...             12.0        1               0.77     
  188    044601-673211   04:46:01.18   -67:32:08.84   12.0        ...             13.0        1               0.57     
  189    044602-723404   04:46:02.28   -72:34:03.54   30.0        3               30.8        0.6             0.95     
  190    044604-705005   04:46:00.38   -70:50:07.48   8.0         ...             9.05        0.07            0.61     
  191    044605-664436   04:46:05.06   -66:44:38.78   11.0        1               10.9        0.1             0.63     
  192    044606-694744   04:46:05.05   -69:47:33.77   6.0         ...             6.6         0.7             0.83     
  193    044608-712709   04:46:09.19   -71:27:22.69   4.0         ...             4.5         0.4             0.56     
  194    044610-705507   04:46:10.13   -70:55:09.70   5.0         1               4.7         0.1             0.62     
  195    044611-720511   04:46:11.16   -72:05:11.72   273.0       2               292.3       0.5             0.66     
  196    044611-674914   04:46:11.40   -67:49:14.73   9.0         1               9.3         0.1             0.55     
  197    044612-685919   04:46:12.33   -68:59:17.33   10.0        1               10.4        0.1             0.52     
  198    044614-645247   04:46:14.02   -64:52:47.04   40.0        ...             40.0        4               1.41     
  199    044614-682246   04:46:14.22   -68:22:44.49   11.0        ...             12.0        1               0.59     
  200    044618-722518   04:46:17.71   -72:25:18.85   9.0         1               9.4         0.1             0.63     
  201    044622-710212   04:46:23.21   -71:02:14.71   24.0        2               39.7        0.7             0.6      
  202    044623-710214   04:46:23.21   -71:02:14.71   24.0        2               39.7        0.7             0.6      
  203    044625-661300   04:46:24.42   -66:13:07.38   7.0         ...             7.8         0.8             0.72     
  204    044627-681807   04:46:26.62   -68:18:06.61   16.0        ...             16.0        2               0.59     
  205    044629-693102   04:46:28.16   -69:31:01.57   25.0        ...             25.0        3               0.8      
  206    044629-710827   04:46:29.26   -71:08:30.40   14.0        1               13.8        0.1             0.6      
  207    044630-652250   04:46:29.98   -65:22:55.99   6.0         ...             6.0         ...             1.03     
  208    044630-693232   04:46:29.85   -69:32:32.78   21.0        2               21.2        0.2             0.8      
  209    044631-671953   04:46:31.01   -67:19:40.38   8.0         ...             8.1         0.8             0.77     
  210    044632-652751   04:46:32.76   -65:27:59.76   8.0         ...             8.7         0.9             0.98     
  211    044634-675856   04:46:33.40   -67:58:55.45   9.0         ...             9.3         0.9             0.46     
  212    044635-701420   04:46:37.50   -70:14:10.35   3.0         ...             3.5         0.4             0.58     
  213    044638-661704   04:46:39.16   -66:16:51.03   6.0         ...             6.5         0.6             0.72     
  214    044640-721505   04:46:40.08   -72:15:04.59   4.5         0.6             4.54        0.06            0.63     
  215    044652-675823   04:46:51.78   -67:58:22.17   16.0        2               18.7        0.4             0.46     
  216    044652-714246   04:46:53.14   -71:42:43.04   8.0         ...             8.0         0.8             0.46     
  217    044654-684242   04:46:53.85   -68:42:39.00   21.0        ...             22.0        2               0.64     
  218    044657-671836   04:46:56.49   -67:18:39.46   9.0         1               8.9         0.1             0.77     
  219    044701-690150   04:47:00.77   -69:01:46.97   9.4         0.9             9.42        0.09            0.52     
  220    044704-693918   04:47:05.09   -69:39:13.62   6.0         ...             6.1         0.6             0.8      
  221    044706-665422   04:47:07.27   -66:54:28.57   6.0         ...             6.7         0.7             0.69     
  222    044710-673351   04:47:10.11   -67:33:47.75   11.0        1               11.1        0.1             0.57     
  223    044710-675049   04:47:10.54   -67:50:47.69   67.0        ...             70.6        0.3             0.55     
  224    044714-691530   04:47:22.33   -69:15:39.58   47.0        2               92.8        0.7             0.58     
  225    044719-703331   04:47:18.98   -70:33:30.41   10.0        1               9.6         0.1             0.58     
  226    044720-684937   04:47:20.16   -68:49:30.80   6.0         ...             6.3         0.6             0.64     
  227    044723-702841   04:47:23.55   -70:28:43.66   16.0        ...             16.0        2               0.53     
  228    044724-691546   04:47:22.33   -69:15:39.58   47.0        2               92.8        0.7             0.58     
  229    044724-674314   04:47:26.42   -67:43:04.51   4.0         ...             4.8         0.5             0.55     
  230    044725-671552   04:47:25.59   -67:15:51.92   34.0        ...             44.5        0.4             0.77     
  231    044730-711809   04:47:30.66   -71:18:09.81   11.0        1               10.9        0.1             0.56     
  232    044735-661438   04:47:34.86   -66:14:37.12   33.0        ...             48.1        0.4             0.72     
  233    044735-661858   04:47:34.98   -66:18:54.67   13.0        ...             13.0        1               0.72     
  234    044735-714310   04:47:36.29   -71:42:56.78   2.0         ...             2.7         0.3             0.52     
  235    044735-665032   04:47:36.30   -66:50:22.97   15.5        0.6             61.7        0.4             0.69     
  236    044738-665627   04:47:38.74   -66:56:26.58   17.0        2               33.5        0.8             0.69     
  237    044743-683002   04:47:43.76   -68:30:09.18   7.0         ...             7.8         0.8             0.84     
  238    044745-711143   04:47:46.14   -71:11:40.18   23.0        ...             23.0        2               0.6      
  239    044746-702742   04:47:45.25   -70:27:33.83   5.0         ...             5.3         0.5             0.53     
  240    044746-704843   04:47:46.65   -70:48:42.98   139.0       2               146.3       0.4             0.61     
  241    044750-693908   04:47:48.54   -69:39:09.77   16.0        ...             17.0        2               0.69     
  242    044750-692107   04:47:50.70   -69:21:07.93   4.0         ...             4.0         ...             0.65     
  243    044756-665132   04:47:57.36   -66:51:37.07   3.0         ...             3.2         0.3             0.71     
  244    044759-704950   04:47:57.33   -70:49:51.21   6.0         ...             6.8         0.7             0.61     
  245    044800-692532   04:48:00.70   -69:25:47.19   4.0         ...             4.4         0.4             0.58     
  246    044801-675305   04:48:02.20   -67:53:08.19   22.0        ...             22.0        2               0.47     
  247    044802-651736   04:48:03.52   -65:17:43.26   6.0         ...             6.7         0.7             1.1      
  248    044804-645210   04:48:02.96   -64:52:08.04   14.0        ...             14.0        1               1.26     
