# col1   Name            RA            DEC            Peak         Peak_err         Flux         Flux_err         rms  
  68     043620-724610   04:36:19.43   -72:46:08.38   158.4        0.8              182.0        1.0              0.82      
  69     043620-671740   04:36:19.41   -67:17:37.63   13.0         1.0              42.0         6.0              1.43      
  70     043632-715842   04:36:32.12   -71:58:43.46   5.8          0.6              6.4          0.8              0.64      
  71     043636-710638   04:36:35.80   -71:06:34.39   21.7         0.7              24.4         0.9              0.77      
  72     043654-732911   04:36:53.44   -73:29:19.52   13.0         1.0              17.0         1.0              1.01      
  73     043655-693033   04:36:54.45   -69:30:31.44   174.7        0.9              212.0        1.0              0.9       
  74     043657-674727   04:36:56.14   -67:47:25.56   62.0         2.0              83.0         3.0              1.92      
  75     043701-684433   04:37:00.36   -68:44:30.12   22.0         1.0              28.0         2.0              1.37      
  76     043704-714819   04:37:03.67   -71:48:17.60   157.5        0.7              194.4        0.9              0.75      
  77     043714-700916   04:37:13.82   -70:09:15.82   133.0        0.8              165.0        1.0              0.84      
  78     043720-691211   04:37:19.91   -69:12:02.10   5.2          0.9              7.0          2.0              0.95      
  79     043722-670032   04:37:21.95   -67:00:27.32   93.0         1.0              112.0        2.0              1.4       
  80     043724-702851   04:37:24.15   -70:28:53.06   6.0          0.9              7.0          1.0              0.94      
  81     043733-713902   04:37:31.34   -71:39:02.70   5.7          0.7              8.0          1.0              0.75      
  82     043737-721737   04:37:37.95   -72:17:34.42   4.1          0.7              6.0          1.0              0.69      
  83     043739-714117   04:37:38.86   -71:41:16.65   14.7         0.7              17.2         0.9              0.75      
  84     043744-722749   04:37:43.71   -72:27:47.66   175.7        0.7              209.3        0.8              0.69      
  85     043750-731424   04:37:49.87   -73:14:08.78   59.1         0.7              207.0        3.0              1.01      
  86     043755-730300   04:37:53.27   -73:02:58.08   21.1         0.8              27.0         1.0              0.88      
  87     043756-672815   04:37:56.04   -67:28:06.06   20.0         1.0              24.0         1.0              1.14      
  88     043756-704837   04:37:56.28   -70:48:31.22   7.4          0.7              11.0         1.0              0.77      
  89     043806-690422   04:38:06.47   -69:04:23.30   16.0         1.0              19.0         1.0              1.02      
  90     043809-670952   04:38:09.69   -67:09:49.99   11.0         1.0              16.0         2.0              1.43      
  91     043809-703124   04:38:08.73   -70:31:22.56   3.8          0.7              5.0          1.0              0.75      
  92     043814-692910   04:38:13.75   -69:29:10.84   32.2         0.9              36.0         1.0              0.9       
  93     043816-731006   04:38:15.13   -73:10:04.16   181.6        0.8              218.0        1.0              0.88      
  94     043826-720824   04:38:26.40   -72:08:18.72   3.6          0.6              4.5          0.9              0.61      
  95     043834-714149   04:38:34.56   -71:41:56.64   4.0          0.6              4.8          0.9              0.65      
  96     043837-732920   04:38:35.39   -73:29:19.75   12.5         0.9              15.0         1.0              0.91      
  97     043840-690025   04:38:39.52   -69:00:22.58   63.0         1.0              86.0         1.0              1.02      
  98     043840-710857   04:38:40.18   -71:08:55.09   22.2         0.7              26.3         0.9              0.77      
  99     043849-724735   04:38:49.11   -72:47:34.75   6.4          0.8              8.0          1.0              0.82      
  100    043851-682258   04:38:50.67   -68:22:56.47   137.0        1.0              179.0        2.0              1.37      
  101    043856-672153   04:38:55.25   -67:21:51.63   581.0        1.0              731.0        1.0              1.09      
  102    043900-732648   04:38:59.85   -73:26:46.61   41.4         0.9              54.0         1.0              0.91      
  103    043901-682037   04:39:00.54   -68:20:19.44   10.0         1.0              16.0         3.0              1.37      
  104    043905-684311   04:39:04.32   -68:43:04.46   5.0          1.0              9.0          3.0              1.03      
  105    043915-694849   04:39:15.01   -69:48:47.15   10.0         0.9              11.0         1.0              0.85      
  106    043917-693959   04:39:16.54   -69:39:55.95   17.0         0.9              20.0         1.0              0.9       
  107    043922-692353   04:39:22.80   -69:23:51.28   26.0         0.9              35.0         1.0              0.95      
  108    043941-712808   04:39:41.04   -71:28:06.29   10.1         0.7              11.2         0.8              0.68      
  109    043942-691423   04:39:41.86   -69:14:21.51   35.7         0.9              46.0         1.0              0.95      
  110    043945-681320   04:39:44.31   -68:13:19.03   49.0         1.0              64.0         1.0              1.06      
  111    043946-694022   04:39:45.75   -69:40:22.05   29.1         0.8              36.0         1.0              0.84      
  112    043950-683222   04:39:49.58   -68:32:22.21   34.0         1.0              44.0         1.0              1.03      
  113    043954-700027   04:39:53.61   -70:00:25.35   13.1         0.9              15.0         1.0              0.9       
  114    044002-730845   04:40:01.48   -73:08:47.18   5.5          0.7              6.5          0.9              0.71      
  115    044005-664422   04:40:05.75   -66:44:14.89   8.0          1.0              11.0         1.0              1.06      
  116    044006-671359   04:40:05.23   -67:13:53.69   25.0         1.0              31.0         1.0              1.09      
  117    044006-662136   04:40:05.83   -66:21:13.78   14.0         1.0              24.0         2.0              1.34      
  118    044008-715718   04:40:07.86   -71:57:16.65   102.4        0.6              120.7        0.7              0.61      
  119    044009-695726   04:40:09.10   -69:57:21.98   13.7         0.9              15.0         1.0              0.9       
  120    044010-725033   04:40:09.82   -72:50:24.74   5.9          0.7              6.7          0.8              0.69      
  121    044016-660437   04:40:15.76   -66:04:33.25   16.0         2.0              17.0         2.0              2.12      
  122    044017-695349   04:40:15.05   -69:53:43.65   12.6         0.9              15.0         1.0              0.9       
  123    044018-692833   04:40:16.13   -69:28:24.45   5.1          0.8              7.0          1.0              0.84      
  124    044020-694024   04:40:20.53   -69:40:33.47   5.5          0.8              7.0          1.0              0.84      
  125    044022-665409   04:40:19.31   -66:53:54.28   6.0          1.0              11.0         2.0              1.06      
  126    044022-674543   04:40:21.85   -67:45:39.39   27.0         1.0              34.0         2.0              0.94      
  127    044028-683507   04:40:29.26   -68:35:02.01   9.0          1.0              11.0         1.0              1.03      
  128    044037-714544   04:40:36.59   -71:45:37.22   4.3          0.6              5.2          0.9              0.65      
  129    044047-695218   04:40:47.27   -69:52:17.17   81.7         0.9              101.0        1.0              0.9       
  130    044052-700532   04:40:51.29   -70:05:29.62   7.6          0.9              9.0          1.0              0.9       
  131    044053-731208   04:40:52.58   -73:11:59.63   4.6          0.7              5.5          0.9              0.71      
  132    044057-662420   04:40:56.15   -66:24:20.68   766.0        1.0              958.0        2.0              1.26      
  133    044101-685432   04:41:00.65   -68:54:28.80   15.1         0.9              22.0         1.0              1.02      
  134    044105-694537   04:41:04.65   -69:45:34.95   28.9         0.8              41.0         1.0              0.84      
  135    044105-704851   04:41:10.37   -70:48:51.97   5.1          0.6              15.0         3.0              0.77      
  136    044109-654836   04:41:07.94   -65:48:29.32   6.0          1.0              7.0          2.0              0.98      
  137    044116-682433   04:41:16.15   -68:24:32.80   18.0         1.0              25.0         1.0              1.06      
  138    044118-695315   04:41:17.40   -69:53:13.86   12.4         0.9              14.0         1.0              0.9       
  139    044125-733006   04:41:23.87   -73:30:13.94   6.0          0.9              7.0          1.0              0.91      
  140    044129-713755   04:41:28.85   -71:37:51.82   4.8          0.6              6.4          0.9              0.65      
  141    044132-723612   04:41:31.75   -72:36:09.87   6.6          0.7              8.7          0.9              0.69      
  142    044140-721607   04:41:39.86   -72:16:02.35   6.8          0.6              7.8          0.7              0.63      
  143    044141-700642   04:41:40.34   -70:06:39.81   5.7          0.9              8.0          1.0              0.9       
  144    044146-702554   04:41:45.73   -70:25:54.85   52.4         0.7              65.0         1.0              0.79      
  145    044151-691911   04:41:51.95   -69:19:14.88   8.9          0.8              11.0         1.0              0.84      
  146    044157-672541   04:41:57.31   -67:25:38.96   26.2         0.8              34.0         1.0              0.8       
  147    044158-732714   04:41:57.18   -73:27:02.35   4.8          0.9              6.0          1.0              0.91      
  148    044159-720237   04:41:58.21   -72:02:36.10   33.2         0.6              39.6         0.7              0.57      
  149    044159-700833   04:41:58.48   -70:08:26.71   5.8          0.9              7.0          1.0              0.9       
  150    044201-681842   04:42:00.67   -68:18:40.85   10.0         1.0              15.0         2.0              1.06      
  151    044202-692632   04:42:01.98   -69:26:31.11   59.0         0.8              74.0         1.0              0.84      
  152    044204-703836   04:42:04.66   -70:38:38.10   4.8          0.7              9.0          2.0              0.77      
  153    044210-735256   04:42:10.02   -73:52:52.48   20.0         1.0              26.0         2.0              1.25      
  154    044211-713145   04:42:09.90   -71:31:45.45   35.4         0.7              41.9         0.8              0.68      
  155    044211-681003   04:42:11.00   -68:10:01.88   78.0         1.0              92.0         1.0              1.06      
  156    044214-705459   04:42:13.63   -70:54:55.37   21.3         0.7              27.0         1.0              0.77      
  157    044216-651834   04:42:16.95   -65:18:37.59   18.0         1.0              24.0         2.0              1.29      
  158    044218-724138   04:42:17.76   -72:41:37.62   15.7         0.7              19.8         0.9              0.69      
  159    044221-672744   04:42:21.33   -67:27:41.30   63.4         0.8              98.0         1.0              0.86      
  160    044226-714524   04:42:25.51   -71:45:22.53   3.6          0.6              4.3          0.8              0.6       
  161    044228-663605   04:42:30.22   -66:36:01.74   5.0          1.0              6.0          2.0              0.97      
  162    044229-664854   04:42:28.69   -66:48:51.56   45.0         0.8              64.0         1.0              0.84      
  163    044231-662000   04:42:29.40   -66:20:11.27   9.0          1.0              14.0         2.0              1.34      
  164    044231-705346   04:42:30.81   -70:53:45.94   22.5         0.7              26.1         0.9              0.77      
  165    044231-725741   04:42:31.45   -72:57:48.13   5.4          0.7              6.6          0.9              0.71      
  166    044247-690922   04:42:46.82   -69:09:23.25   5.8          0.8              8.0          1.0              0.83      
  167    044259-701002   04:42:58.43   -70:10:03.22   5.6          0.8              7.0          1.0              0.78      
  168    044315-660248   04:43:14.85   -66:02:46.88   107.7        0.9              142.0        1.0              0.98      
  169    044318-665204   04:43:17.74   -66:52:03.11   74.1         0.8              94.0         1.0              0.84      
