# col1   Name            RA            DEC            Peak         Peak_err         Flux         Flux_err         rms  
  378    045453-690300   04:54:52.54   -69:02:57.68   36.0         1.0              45.0         2.0              1.35      
  379    045457-652840   04:54:57.16   -65:28:33.57   4.0          0.7              5.0          1.0              0.74      
  380    045458-681514   04:54:56.56   -68:15:13.49   10.0         1.0              13.0         1.0              1.06      
  381    045508-680307   04:55:07.55   -68:03:08.29   13.0         1.0              18.0         1.0              1.06      
  382    045514-724649   04:55:12.73   -72:46:44.49   9.4          0.6              10.8         0.7              0.64      
  383    045515-653812   04:55:16.09   -65:38:12.78   61.1         0.8              79.0         1.0              0.82      
  384    045519-652713   04:55:19.38   -65:27:11.98   7.5          0.7              8.0          0.8              0.74      
  385    045529-692451   04:55:27.46   -69:24:49.03   20.0         2.0              26.0         2.0              1.68      
  386    045530-720442   04:55:29.80   -72:04:42.28   14.9         0.5              17.5         0.6              0.55      
  387    045532-693542   04:55:32.00   -69:35:41.91   64.0         2.0              79.0         2.0              1.68      
  388    045542-690630   04:55:41.06   -69:06:26.69   76.0         1.0              100.0        2.0              1.35      
  389    045545-722947   04:55:45.03   -72:29:46.91   4.5          0.6              5.9          0.9              0.66      
  390    045546-694830   04:55:45.09   -69:48:29.33   221.0        1.0              266.0        2.0              1.45      
  391    045551-690209   04:55:50.90   -69:02:10.65   37.0         1.0              47.0         2.0              1.35      
  392    045554-643555   04:55:53.94   -64:35:54.11   48.0         1.0              63.0         1.0              1.1       
  393    045558-715926   04:55:57.23   -71:59:27.14   3.4          0.6              6.0          2.0              0.62      
  394    045559-693327   04:55:59.50   -69:33:30.14   32.0         2.0              47.0         2.0              1.68      
  395    045601-735134   04:55:59.37   -73:51:31.18   10.0         1.0              14.0         2.0              1.21      
  396    045603-694248   04:56:02.13   -69:42:51.54   24.0         1.0              30.0         2.0              1.45      
  397    045605-665111   04:56:04.68   -66:51:11.02   40.8         0.9              50.0         1.0              0.98      
  398    045608-701434   04:56:07.81   -70:14:33.39   194.0        1.0              232.0        2.0              1.36      
  399    045609-735704   04:56:08.04   -73:57:02.52   50.0         1.0              59.0         1.0              1.21      
  400    045612-720456   04:56:11.90   -72:04:59.81   6.0          0.5              8.4          0.8              0.55      
  401    045614-702553   04:56:13.38   -70:25:43.59   21.0         1.0              25.0         1.0              1.12      
  402    045617-711324   04:56:16.15   -71:13:23.37   22.2         0.7              24.0         0.8              0.72      
  403    045618-684949   04:56:17.82   -68:49:47.23   55.0         1.0              71.0         2.0              1.26      
  404    045621-671302   04:56:20.79   -67:13:04.36   28.0         1.0              38.0         1.0              1.02      
  405    045630-672252   04:56:31.14   -67:22:50.83   6.5          0.7              9.0          1.0              0.72      
  406    045633-730710   04:56:32.29   -73:07:08.21   112.0        0.8              134.0        1.0              0.81      
  407    045634-693742   04:56:31.90   -69:37:33.79   9.0          2.0              12.0         3.0              1.68      
  408    045639-641742   04:56:38.74   -64:17:36.16   12.0         1.0              16.0         1.0              1.03      
  409    045646-681436   04:56:47.47   -68:14:29.87   6.5          0.9              11.0         2.0              0.97      
  410    045650-722308   04:56:49.40   -72:23:04.03   2.9          0.6              2.9          0.6              0.56      
  411    045651-735827   04:56:48.98   -73:58:27.00   7.0          1.0              8.0          2.0              1.21      
  412    045653-651000   04:56:53.14   -65:09:57.88   35.7         0.7              41.8         0.9              0.75      
  413    045655-681257   04:56:54.04   -68:12:54.11   11.3         0.9              16.0         1.0              0.97      
  414    045708-713047   04:57:05.40   -71:30:46.03   4.8          0.5              12.0         2.0              0.62      
  415    045720-672008   04:57:21.16   -67:20:20.62   6.2          0.7              7.8          0.9              0.72      
  416    045730-731750   04:57:29.11   -73:17:48.30   68.5         0.8              83.0         1.0              0.81      
  417    045731-733136   04:57:29.91   -73:31:38.69   18.0         1.0              22.0         1.0              1.01      
  418    045734-732832   04:57:32.77   -73:28:28.37   57.0         1.0              71.0         1.0              1.01      
  419    045746-691935   04:57:46.32   -69:19:33.07   83.5         0.9              104.0        1.0              0.96      
  420    045756-731529   04:57:56.03   -73:15:31.96   5.7          0.8              7.0          1.0              0.81      
  421    045757-713243   04:57:57.02   -71:32:41.10   10.4         0.6              16.3         0.9              0.62      
  422    045802-725726   04:58:01.46   -72:57:23.58   36.2         0.6              46.3         0.8              0.67      
  423    045803-723444   04:58:03.00   -72:34:44.46   22.6         0.5              25.3         0.6              0.57      
  424    045806-722557   04:58:05.01   -72:26:01.15   12.5         0.5              26.0         1.0              0.57      
  425    045813-722850   04:58:12.61   -72:28:51.17   28.5         0.5              33.8         0.7              0.57      
  426    045813-693728   04:58:13.57   -69:37:28.91   13.0         1.0              21.0         2.0              1.26      
  427    045815-674953   04:58:15.50   -67:49:48.53   4.7          0.7              9.0          2.0              0.77      
  428    045819-690315   04:58:17.89   -69:03:04.90   5.0          1.0              5.0          1.0              0.96      
  429    045820-661420   04:58:18.80   -66:14:26.07   8.0          1.0              11.0         2.0              1.08      
  430    045823-685754   04:58:22.18   -68:57:52.44   12.0         1.0              13.0         1.0              1.04      
  431    045826-680927   04:58:25.80   -68:09:29.32   9.5          0.9              13.0         1.0              0.97      
  432    045834-644942   04:58:34.01   -64:49:41.00   117.8        0.7              153.0        1.0              0.78      
  433    045834-733605   04:58:33.63   -73:36:02.46   9.1          0.8              11.0         1.0              0.83      
  434    045835-654855   04:58:35.19   -65:48:52.70   10.5         0.7              13.1         0.9              0.75      
  435    045837-671244   04:58:36.55   -67:12:43.17   76.2         0.8              97.0         1.0              0.83      
  436    045838-724819   04:58:37.12   -72:48:12.34   4.2          0.6              6.0          1.0              0.67      
  437    045844-665740   04:58:43.53   -66:57:39.15   103.0        1.0              136.0        1.0              1.02      
  438    045845-725024   04:58:44.20   -72:50:23.05   145.1        0.6              166.3        0.8              0.67      
  439    045846-670538   04:58:45.78   -67:05:37.24   89.0         0.8              116.0        1.0              0.83      
  440    045847-661630   04:58:47.55   -66:16:29.96   32.0         1.0              40.0         1.0              1.08      
  441    045848-711440   04:58:48.73   -71:14:38.06   13.4         0.6              17.0         0.8              0.67      
  442    045859-670111   04:58:58.58   -67:01:15.69   8.7          0.8              13.0         1.0              0.83      
  443    045909-660655   04:59:09.22   -66:06:54.95   6.0          1.0              6.0          1.0              1.08      
  444    045911-734004   04:59:09.46   -73:40:01.55   12.5         0.8              15.0         1.0              0.83      
  445    045917-643608   04:59:15.75   -64:35:57.00   5.1          0.8              7.0          1.0              0.87      
  446    045920-645438   04:59:18.67   -64:54:32.03   4.6          0.7              4.8          0.8              0.74      
  447    045921-730513   04:59:19.06   -73:05:08.02   6.0          0.6              7.6          0.9              0.65      
  448    045925-730851   04:59:24.45   -73:08:43.55   3.9          0.7              4.5          0.9              0.72      
  449    045926-704748   04:59:24.94   -70:47:51.36   7.7          0.7              12.0         1.0              0.78      
  450    045940-695504   04:59:39.38   -69:55:03.97   165.0        1.0              202.0        1.0              1.22      
  451    045946-730119   04:59:45.29   -73:01:19.06   11.3         0.6              13.5         0.8              0.65      
  452    045946-664137   04:59:46.34   -66:41:39.27   8.0          1.0              12.0         1.0              1.02      
  453    045947-641537   04:59:47.00   -64:15:35.62   124.0        1.0              147.0        2.0              1.38      
  454    045948-692408   04:59:48.57   -69:24:03.90   14.0         1.0              18.0         2.0              1.26      
  455    045953-734130   04:59:52.95   -73:41:23.47   12.7         0.8              16.0         1.0              0.83      
  456    045954-710739   04:59:54.52   -71:07:38.75   54.6         0.6              63.3         0.8              0.67      
  457    045957-701941   04:59:57.78   -70:19:38.45   18.0         1.0              28.0         2.0              1.34      
  458    045958-722411   04:59:57.56   -72:24:10.14   44.0         0.5              57.2         0.7              0.56      
  459    050000-712251   05:00:00.17   -71:22:45.88   3.6          0.7              5.0          1.0              0.67      
  460    050012-731200   05:00:09.81   -73:11:47.51   4.7          0.7              5.9          0.9              0.72      
  461    050014-644157   05:00:12.70   -64:42:07.23   4.6          0.7              6.0          1.0              0.74      
  462    050021-733810   05:00:20.08   -73:38:10.59   6.7          0.8              9.0          1.0              0.83      
  463    050030-674141   05:00:29.90   -67:41:41.39   70.6         0.7              91.0         1.0              0.77      
  464    050032-711922   05:00:32.17   -71:19:20.48   12.6         0.6              15.6         0.8              0.67      
  465    050033-652341   05:00:32.58   -65:23:39.42   35.2         0.6              54.0         1.0              0.68      
  466    050036-643102   05:00:35.52   -64:31:04.98   10.0         1.0              14.0         1.0              1.07      
  467    050036-720626   05:00:35.71   -72:06:21.85   119.5        0.7              147.1        0.9              0.56      
  468    050039-700311   05:00:40.49   -70:03:09.57   8.0          1.0              12.0         2.0              1.13      
  469    050050-680346   05:00:50.29   -68:03:44.99   31.8         0.9              38.0         1.0              0.96      
  470    050059-714530   05:00:59.27   -71:45:32.88   9.9          0.7              11.6         0.8              0.72      
  471    050059-731048   05:00:58.16   -73:10:48.32   6.6          0.7              7.9          0.9              0.72      
  472    050100-735800   05:00:59.53   -73:57:59.15   7.0          1.0              7.0          1.0              1.13      
  473    050102-674702   05:01:00.96   -67:47:00.26   5.8          0.7              7.0          1.0              0.77      
  474    050102-694314   05:01:00.96   -69:43:01.40   8.0          1.0              11.0         2.0              1.16      
  475    050104-675019   05:01:04.30   -67:50:18.35   17.7         0.7              23.0         1.0              0.77      
  476    050107-691750   05:01:06.86   -69:17:33.39   27.3         0.9              35.0         1.0              0.92      
  477    050107-650206   05:01:07.07   -65:02:00.77   7.3          0.6              8.1          0.7              0.6       
  478    050108-673210   05:01:08.30   -67:32:10.70   53.2         0.7              67.0         1.0              0.78      
  479    050113-675529   05:01:12.45   -67:55:34.55   5.9          0.7              8.0          1.0              0.77      
  480    050115-653758   05:01:13.93   -65:38:00.95   4.8          0.6              8.0          1.0              0.68      
  481    050116-715539   05:01:15.11   -71:55:36.34   10.5         0.5              11.9         0.6              0.56      
  482    050118-654953   05:01:17.25   -65:49:45.84   5.9          0.8              9.0          1.0              0.84      
  483    050118-713356   05:01:17.61   -71:33:55.34   45.6         0.6              56.7         0.8              0.62      
  484    050119-660740   05:01:18.40   -66:07:41.47   15.4         0.8              21.0         1.0              0.84      
  485    050123-652704   05:01:25.22   -65:27:01.73   3.8          0.7              6.0          1.0              0.68      
  486    050124-730823   05:01:23.57   -73:08:24.11   35.7         0.7              43.7         0.9              0.72      
  487    050125-735000   05:01:24.02   -73:50:01.53   13.0         1.0              15.0         1.0              1.13      
  488    050129-740707   05:01:27.16   -74:07:08.29   8.0          1.0              13.0         2.0              1.13      
  489    050137-714218   05:01:36.84   -71:42:20.11   10.6         0.6              12.7         0.7              0.61      
  490    050139-662525   05:01:38.40   -66:25:24.68   92.8         0.9              124.0        1.0              0.92      
  491    050139-665353   05:01:39.10   -66:53:54.43   39.1         0.9              51.0         1.0              0.94      
  492    050139-714642   05:01:38.61   -71:46:33.95   3.7          0.5              5.3          0.9              0.56      
  493    050140-653433   05:01:39.64   -65:34:34.21   4.1          0.7              6.0          1.0              0.76      
  494    050141-740319   05:01:38.82   -74:03:17.87   9.0          1.0              13.0         2.0              1.13      
  495    050143-731912   05:01:42.96   -73:19:13.94   4.2          0.7              6.0          1.0              0.72      
  496    050146-725815   05:01:44.54   -72:58:14.01   6.0          0.6              9.0          1.0              0.65      
  497    050147-664947   05:01:46.91   -66:49:45.54   18.1         0.9              22.0         1.0              0.94      
  498    050150-690221   05:01:49.83   -69:02:07.78   16.3         0.9              21.0         1.0              0.91      
  499    050157-730252   05:01:55.78   -73:02:51.22   5.1          0.6              6.9          0.9              0.65      
  500    050159-680758   05:01:58.63   -68:07:57.32   6.0          1.0              7.0          1.0              0.97      
  501    050200-693153   05:02:00.41   -69:31:53.37   982.0        1.0              1194.0       1.0              1.16      
  502    050202-724228   05:02:00.42   -72:42:20.88   3.6          0.5              4.7          0.8              0.55      
  503    050203-710050   05:02:02.52   -71:00:48.83   9.2          0.8              12.0         1.0              0.78      
  504    050206-651844   05:02:05.78   -65:18:52.52   7.0          0.7              9.0          1.0              0.77      
  505    050208-735110   05:02:06.71   -73:51:10.61   11.0         1.0              11.0         1.0              1.13      
  506    050210-681204   05:02:09.54   -68:12:03.10   14.5         0.9              17.0         1.0              0.97      
  507    050210-642502   05:02:10.27   -64:24:55.26   8.0          1.0              15.0         2.0              1.07      
  508    050214-655037   05:02:13.72   -65:50:36.00   58.3         0.8              73.0         1.0              0.84      
  509    050219-715104   05:02:18.58   -71:51:04.86   15.2         0.5              17.9         0.7              0.56      
  510    050219-700822   05:02:18.32   -70:08:15.07   13.0         1.0              15.0         2.0              1.34      
  511    050227-731622   05:02:25.85   -73:16:23.48   16.3         0.7              19.5         0.9              0.72      
  512    050227-655710   05:02:27.01   -65:57:10.49   77.0         0.8              96.0         1.0              0.84      
  513    050227-684852   05:02:26.70   -68:49:00.46   16.8         0.9              21.0         1.0              0.91      
  514    050230-651321   05:02:29.81   -65:13:20.65   23.5         0.7              31.0         1.0              0.77      
  515    050230-663115   05:02:30.50   -66:31:09.61   8.4          0.9              12.0         1.0              0.92      
  516    050230-670558   05:02:32.70   -67:05:53.32   6.5          0.8              11.0         2.0              0.87      
  517    050241-712016   05:02:41.20   -71:20:17.05   3.4          0.6              4.2          0.9              0.63      
  518    050242-682839   05:02:40.04   -68:28:33.71   5.5          0.9              9.0          2.0              0.97      
  519    050243-651836   05:02:42.68   -65:18:36.51   43.7         0.7              54.6         0.9              0.77      
  520    050246-665300   05:02:45.49   -66:53:05.86   6.5          0.9              11.0         2.0              0.94      
  521    050249-715228   05:02:48.88   -71:52:28.08   4.0          0.6              4.5          0.6              0.56      
  522    050249-675016   05:02:48.98   -67:50:13.69   22.7         0.9              27.0         1.0              0.98      
  523    050250-724509   05:02:48.74   -72:45:08.99   5.1          0.5              5.6          0.6              0.55      
  524    050253-705751   05:02:52.44   -70:57:53.14   9.5          0.8              11.4         0.9              0.79      
  525    050258-675806   05:02:58.06   -67:58:06.15   257.6        0.9              335.0        1.0              0.98      
  526    050301-681325   05:03:00.43   -68:13:23.47   5.0          1.0              7.0          2.0              0.97      
  527    050303-703439   05:03:01.99   -70:34:36.64   6.5          0.9              7.0          1.0              0.89      
  528    050304-663346   05:03:03.43   -66:33:41.13   24.7         0.9              33.0         1.0              0.92      
  529    050304-693052   05:03:04.56   -69:30:50.61   8.0          1.0              20.0         3.0              1.16      
  530    050310-670233   05:03:10.09   -67:02:30.67   13.0         1.0              19.0         1.0              1.04      
  531    050311-704854   05:03:12.71   -70:48:52.50   4.4          0.8              8.0          2.0              0.79      
  532    050315-642632   05:03:14.74   -64:26:27.75   25.0         1.0              28.0         1.0              1.22      
  533    050321-721722   05:03:21.09   -72:17:09.61   8.8          0.5              14.3         0.9              0.56      
  534    050325-725841   05:03:24.31   -72:58:41.15   105.5        0.6              126.5        0.8              0.65      
  535    050327-653733   05:03:27.17   -65:37:33.95   39.6         0.7              50.5         0.9              0.76      
  536    050330-645542   05:03:30.02   -64:55:40.32   11.5         0.9              15.0         1.0              0.96      
  537    050334-653215   05:03:34.96   -65:32:09.95   3.9          0.7              4.4          0.7              0.76      
  538    050334-703549   05:03:33.17   -70:35:54.68   9.3          0.9              11.0         1.0              0.89      
  539    050339-722532   05:03:37.91   -72:25:34.17   4.4          0.6              4.4          0.6              0.56      
  540    050342-704915   05:03:42.74   -70:49:16.69   14.1         0.8              16.5         0.9              0.79      
  541    050344-723703   05:03:43.49   -72:37:06.46   14.1         0.5              20.1         0.8              0.55      
  542    050348-671818   05:03:50.69   -67:18:23.77   6.2          0.9              21.0         4.0              1.04      
  543    050356-675731   05:03:55.89   -67:57:22.43   7.0          1.0              9.0          1.0              0.98      
  544    050356-700219   05:03:55.72   -70:02:19.58   37.0         1.0              43.0         1.0              1.07      
  545    050358-655334   05:03:57.26   -65:53:37.10   3.8          0.8              7.0          2.0              0.84      
  546    050359-733641   05:03:58.39   -73:36:40.76   36.7         0.8              45.0         1.0              0.8       
  547    050401-722835   05:04:02.70   -72:28:33.70   3.9          0.5              5.9          0.9              0.55      
  548    050402-720346   05:04:01.42   -72:03:46.58   117.6        0.5              143.3        0.7              0.56      
  549    050406-683545   05:04:06.25   -68:35:41.98   15.2         0.9              16.0         1.0              0.97      
  550    050410-711842   05:04:11.04   -71:18:33.21   4.7          0.6              5.7          0.8              0.63      
  551    050411-670106   05:04:09.16   -67:01:08.74   75.0         1.0              104.0        1.0              1.05      
  552    050413-700455   05:04:12.47   -70:04:53.29   56.0         1.0              67.0         1.0              1.07      
  553    050411-653209   05:04:14.89   -65:31:51.84   9.4          0.7              14.0         1.0              0.76      
  554    050428-642936   05:04:28.63   -64:29:14.21   6.0          1.0              10.0         3.0              1.22      
  555    050428-645721   05:04:27.83   -64:57:20.25   153.8        0.9              215.0        1.0              0.96      
  556    050438-705440   05:04:37.41   -70:54:37.24   24.1         0.8              28.1         0.9              0.79      
  557    050450-643821   05:04:49.82   -64:38:19.69   29.0         1.0              37.0         2.0              1.22      
  558    050452-670124   05:04:51.93   -67:01:23.04   27.0         1.0              38.0         1.0              1.05      
  559    050453-652735   05:04:52.46   -65:27:30.39   3.7          0.7              4.2          0.7              0.73      
  560    050453-700735   05:04:51.61   -70:07:36.50   13.1         0.9              21.0         2.0              1.0       
  561    050456-673602   05:04:54.09   -67:36:22.00   91.3         0.8              183.0        2.0              0.92      
  562    050456-704504   05:04:55.37   -70:45:01.84   37.9         0.9              49.0         1.0              0.89      
  563    050501-664518   05:05:00.55   -66:45:17.63   277.0        1.0              361.0        1.0              1.05      
  564    050505-684003   05:05:03.37   -68:40:08.58   6.0          1.0              9.0          2.0              1.11      
  565    050507-710534   05:05:06.53   -71:05:35.02   4.9          0.8              6.0          1.0              0.79      
  566    050510-704435   05:05:08.05   -70:44:36.75   70.7         0.9              83.0         1.0              0.89      
  567    050513-714603   05:05:12.93   -71:46:06.66   12.7         0.6              15.1         0.8              0.64      
  568    050513-685427   05:05:12.56   -68:54:25.03   13.0         1.0              16.0         1.0              1.16      
  569    050520-665507   05:05:19.68   -66:55:08.10   11.0         1.0              17.0         2.0              1.05      
  570    050521-711635   05:05:21.07   -71:16:39.59   7.4          0.6              8.4          0.7              0.63      
  571    050524-673435   05:05:23.27   -67:34:39.00   13.1         0.9              17.0         1.0              0.92      
  572    050525-714455   05:05:23.36   -71:44:45.90   5.1          0.6              7.6          0.8              0.64      
  573    050525-705611   05:05:25.05   -70:56:09.30   15.1         0.7              21.0         1.0              0.79      
  574    050527-704612   05:05:26.32   -70:46:08.76   5.4          0.9              6.0          1.0              0.89      
  575    050528-705356   05:05:27.43   -70:53:59.53   28.0         0.7              36.0         1.0              0.79      
  576    050529-665556   05:05:29.15   -66:55:55.69   122.0        1.0              158.0        1.0              1.05      
  577    050531-674250   05:05:30.33   -67:42:51.29   17.0         1.0              25.0         2.0              1.14      
  578    050531-651645   05:05:30.49   -65:16:45.51   5.6          0.6              8.0          0.9              0.66      
  579    050535-700516   05:05:35.30   -70:05:14.71   125.0        1.0              146.0        1.0              1.07      
  580    050539-710740   05:05:39.00   -71:07:41.11   124.2        0.8              151.4        0.9              0.64      
  581    050540-645152   05:05:38.70   -64:51:54.19   7.2          0.9              10.0         1.0              0.94      
  582    050543-665815   05:05:42.07   -66:58:08.15   23.0         1.0              31.0         1.0              1.05      
  583    050547-664327   05:05:45.37   -66:43:22.80   61.0         1.0              99.0         2.0              0.99      
  584    050549-700026   05:05:48.18   -70:00:23.14   7.0          1.0              8.0          1.0              1.07      
  585    050549-650846   05:05:48.09   -65:08:38.13   4.1          0.6              6.0          1.0              0.66      
  586    050550-730727   05:05:49.09   -73:07:29.71   3.5          0.6              3.9          0.7              0.59      
  587    050551-695117   05:05:50.57   -69:51:18.23   122.0        1.0              148.0        1.0              1.07      
  588    050554-685037   05:05:54.00   -68:50:38.66   26.0         1.0              34.0         1.0              1.16      
  589    050559-684737   05:05:58.35   -68:47:34.54   46.0         1.0              56.0         1.0              1.16      
  590    050602-720202   05:06:02.23   -72:02:07.66   3.4          0.6              4.1          0.8              0.6       
  591    050606-710458   05:06:04.63   -71:04:57.67   10.1         0.7              11.3         0.8              0.7       
  592    050613-731557   05:06:12.76   -73:15:54.21   19.5         0.6              23.0         0.8              0.66      
  593    050620-642838   05:06:17.78   -64:28:32.83   10.0         1.0              14.0         2.0              1.26      
  594    050624-644241   05:06:24.06   -64:42:40.64   5.4          0.9              9.0          2.0              0.94      
  595    050625-704716   05:06:23.98   -70:47:17.03   20.8         0.7              24.1         0.8              0.7       
  596    050626-643819   05:06:25.91   -64:38:19.92   119.0        1.0              143.0        1.0              1.26      
  597    050632-652010   05:06:31.65   -65:20:16.13   5.0          0.6              5.3          0.7              0.66      
  598    050634-675642   05:06:33.53   -67:56:41.14   75.0         1.0              95.0         1.0              1.16      
  599    050641-682013   05:06:40.58   -68:20:06.21   6.0          1.0              10.0         2.0              1.13      
  600    050643-672559   05:06:42.20   -67:25:58.35   9.0          1.0              21.0         3.0              1.14      
  601    050645-711845   05:06:44.26   -71:18:45.66   12.3         0.6              14.2         0.7              0.64      
  602    050649-670412   05:06:49.92   -67:04:18.04   35.0         1.0              50.0         2.0              1.26      
  603    050652-712048   05:06:52.02   -71:20:47.49   4.9          0.6              6.3          0.9              0.64      
  604    050654-642342   05:06:52.99   -64:23:40.07   26.0         1.0              34.0         2.0              1.26      
  605    050655-713216   05:06:52.98   -71:32:18.58   6.4          0.6              8.0          0.8              0.64      
  606    050702-674300   05:07:01.43   -67:42:56.88   13.0         1.0              18.0         2.0              1.14      
  607    050709-690101   05:07:08.59   -69:00:59.66   25.0         1.0              29.0         1.0              1.16      
  608    050710-714404   05:07:09.89   -71:44:04.04   116.8        0.6              142.2        0.8              0.64      
  609    050710-725421   05:07:08.05   -72:54:13.84   3.3          0.6              4.2          0.9              0.59      
  610    050713-662712   05:07:11.92   -66:27:14.60   5.8          0.9              10.0         2.0              0.94      
  611    050714-650438   05:07:14.90   -65:04:49.37   4.8          0.6              8.0          1.0              0.66      
  612    050715-724215   05:07:14.41   -72:42:17.51   5.8          0.5              8.4          0.8              0.58      
  613    050716-652107   05:07:15.70   -65:21:09.57   31.0         0.6              36.9         0.8              0.67      
  614    050717-665647   05:07:17.21   -66:56:48.10   79.0         1.0              105.0        1.0              1.11      
  615    050719-720143   05:07:19.00   -72:01:43.20   18.6         0.6              23.0         0.7              0.6       
  616    050721-715945   05:07:20.97   -71:59:46.98   5.5          0.6              6.3          0.7              0.6       
  617    050724-662103   05:07:22.86   -66:21:03.66   8.2          0.7              10.3         0.9              0.74      
  618    050726-655513   05:07:25.38   -65:55:17.86   37.9         0.7              46.5         0.8              0.7       
  619    050732-711223   05:07:30.98   -71:12:21.61   4.8          0.6              6.4          0.9              0.64      
  620    050735-715234   05:07:35.16   -71:52:34.13   87.6         0.6              112.2        0.7              0.6       
  621    050737-653056   05:07:37.06   -65:30:55.22   25.3         0.6              30.4         0.8              0.65      
  622    050743-675539   05:07:42.55   -67:55:47.12   8.0          1.0              11.0         2.0              1.16      
  623    050743-651410   05:07:42.64   -65:14:07.93   5.5          0.6              6.6          0.8              0.67      
  624    050743-695740   05:07:43.94   -69:57:41.58   5.6          0.9              8.0          1.0              0.91      
  625    050749-680938   05:07:48.02   -68:09:38.79   9.0          1.0              12.0         1.0              1.13      
  626    050750-714111   05:07:48.59   -71:41:16.50   22.6         0.6              27.9         0.8              0.64      
  627    050802-735648   05:08:02.43   -73:56:50.30   20.8         0.9              23.0         1.0              0.95      
  628    050806-645124   05:08:05.60   -64:51:25.81   16.2         0.7              18.4         0.8              0.68      
  629    050806-723928   05:08:04.21   -72:39:19.01   3.5          0.6              3.4          0.7              0.64      
  630    050810-643139   05:08:09.96   -64:31:51.65   7.0          1.0              10.0         2.0              1.02      
  631    050810-721056   05:08:08.70   -72:10:55.79   4.1          0.6              4.3          0.6              0.57      
  632    050811-680609   05:08:15.93   -68:05:52.86   11.4         0.9              35.0         3.0              1.2       
  633    050813-674614   05:08:11.43   -67:46:11.45   16.0         1.0              21.0         1.0              1.16      
  634    050814-644719   05:08:13.86   -64:47:18.88   35.0         0.6              44.3         0.8              0.68      
  635    050814-733340   05:08:15.64   -73:33:35.54   5.0          0.8              6.0          1.0              0.79      
  636    050820-643319   05:08:19.78   -64:33:14.65   40.0         1.0              48.0         1.0              1.02      
  637    050822-695528   05:08:20.77   -69:55:21.08   5.6          0.9              8.0          1.0              0.91      
  638    050827-702131   05:08:25.58   -70:21:28.76   4.5          0.8              6.0          1.0              0.81      
  639    050829-691102   05:08:28.69   -69:11:02.66   34.0         1.0              42.0         1.0              1.04      
  640    050831-720759   05:08:29.59   -72:08:04.59   4.2          0.6              4.3          0.7              0.62      
  641    050831-670618   05:08:30.77   -67:06:16.30   134.0        1.0              180.0        2.0              1.26      
  642    050831-650835   05:08:31.33   -65:08:32.53   13.5         0.6              16.7         0.8              0.67      
  643    050839-662907   05:08:38.70   -66:29:05.73   6.6          0.9              8.0          1.0              0.94      
  644    050846-721858   05:08:45.44   -72:18:60.00   14.4         0.6              23.0         1.0              0.69      
  645    050847-654120   05:08:46.38   -65:41:21.19   4.1          0.6              4.4          0.8              0.65      
  646    050855-741036   05:08:57.94   -74:10:34.77   8.0          1.0              12.0         2.0              0.95      
  647    050855-722549   05:08:54.24   -72:25:49.07   46.4         0.7              57.5         0.8              0.69      
  648    050901-651751   05:09:00.72   -65:17:51.49   11.1         0.6              12.7         0.8              0.67      
  649    050907-712242   05:09:06.69   -71:22:42.11   23.0         0.6              26.4         0.7              0.63      
  650    050907-733303   05:09:06.08   -73:33:04.44   185.5        0.8              230.0        1.0              0.79      
  651    050909-740051   05:09:08.00   -74:00:50.19   15.1         0.9              18.0         1.0              0.95      
  652    050912-731754   05:09:09.86   -73:17:59.15   7.2          0.6              10.0         0.9              0.67      
  653    050914-652520   05:09:14.42   -65:25:12.24   4.2          0.6              5.1          0.9              0.65      
  654    050921-652857   05:09:20.74   -65:29:00.02   9.0          0.6              11.4         0.8              0.65      
  655    050924-652224   05:09:22.75   -65:22:13.89   3.7          0.7              5.0          1.0              0.67      
  656    050926-712803   05:09:26.41   -71:27:46.14   16.5         0.6              20.7         0.8              0.63      
  657    050929-703810   05:09:28.08   -70:38:03.48   4.0          0.7              6.0          1.0              0.73      
  658    050934-722908   05:09:32.75   -72:29:06.50   9.9          0.6              15.0         1.0              0.69      
  659    050942-720901   05:09:40.78   -72:08:59.62   6.8          0.7              8.0          0.8              0.62      
  660    050944-703732   05:09:43.46   -70:37:42.32   3.8          0.7              6.0          1.0              0.73      
  661    050945-704837   05:09:41.25   -70:48:50.64   7.7          0.6              19.0         2.0              0.68      
  662    050946-700706   05:09:44.76   -70:07:04.54   4.5          0.8              5.1          0.8              0.91      
  663    050947-670559   05:09:46.15   -67:05:58.26   52.0         2.0              66.0         2.0              1.68      
  664    050947-730613   05:09:46.93   -73:06:14.30   7.5          0.5              9.0          0.7              0.56      
  665    050948-723337   05:09:47.15   -72:33:36.43   4.0          0.6              5.0          0.9              0.64      
  666    050952-671627   05:09:49.42   -67:16:29.75   163.0        2.0              248.0        2.0              1.68      
  667    050952-680831   05:09:51.09   -68:08:17.80   6.0          1.0              13.0         3.0              1.2       
  668    050953-661012   05:09:55.59   -66:10:15.09   8.8          0.7              11.3         0.9              0.74      
  669    050954-694130   05:09:53.65   -69:41:32.30   20.1         0.9              22.0         1.0              0.93      
  670    050955-725130   05:09:54.65   -72:51:29.96   18.8         0.5              23.4         0.7              0.56      
  671    050956-721013   05:09:55.84   -72:10:18.00   3.8          0.7              4.2          0.9              0.69      
  672    050957-641740   05:09:55.95   -64:17:31.77   14.0         1.0              16.0         1.0              1.32      
  673    051001-675540   05:10:01.47   -67:55:45.40   8.0          1.0              10.0         2.0              1.14      
  674    051007-642804   05:10:05.93   -64:27:56.10   6.0          1.0              7.0          2.0              1.02      
