`Flux`/`Peak`,lin_slope
1,-1.15001
1,-1.09005
1.0462606986496699,-1.2678
1.1256683858117835,-1.13057
1.2598684041224257,-1.12792
1.4999999417923418,-1.66083
1,-1.20319
1.253588532950371,-1.13195
1,-1.49653
1.8292682428203264,-1.42136
1.2619048806959108,-1.84845
1.4787233905531987,-2.09341
1.1292516696491164,-1.00697
1.2567567610085946,-1.63507
1.0468749181454808,-1.6681
1,-1.62246
1,-1.25845
1.217391233926461,-1.22566
1.0927836417499457,-1.18781
1.173711058259939,-1.06962
1.061452515710476,-1.04032
1.2753623266651761,-1.36276
1.4059286429981894,-1.00488
1.0983606432232922,-1.50174
1.0888450467540476,-1.23889
1.1378298425032465,-1.0146
1.7662337992203982,-2.04862
1.068181808560717,-1.50699
1.03524223002108,-1.28383
1.144144057973568,-1.73836
1.0803571755247088,-1.74541
1.1401869451721671,-1.81829
1.2970480442844907,-1.38132
1.010380626702967,-1.18612
1,-1.2773
1.0034842495513427,-1.31116
1.3279351817609792,-2.11844
1.0817308092700626,-1.17807
1.013605418903504,-1.11855
1.0987654955023252,-1.15625
1,-1.24843
1,-1.37018
1.0927836417499457,-1.635
1.1783581100346197,-1.23068
1.1846153537549922,-1.49784
1.2115384598163415,-1.73234
1.1704545743178485,-1.10487
1.5488722383659252,-1.29473
1.0426665924920007,-1.36169
1.8144331005506804,-3.42246
1.3698629507832392,-1.21126
1,-1.2363
1.288209602724635,-1.15242
1.5145631269869155,-2.17196
1.0228426479930661,-1.22717
1,-1.77917
1.026011680185739,-1.03269
1.0785875838200891,-1.00346
1.0227272342428686,-1.68058
1.0769230034459532,-1.46915
1.1874999054125555,-1.53787
1.4117647542208942,-1.68927
1.1523809616730598,-1.1036
1.0243902014268922,-1.00249
1,-1.09786
1,-1.62605
1.3374998763087265,-1.56908
1.3698629507832392,-1.17853
1.007299257667929,-1.48682
1.3176469402329796,-1.24479
1.4734043496529783,-1.99452
1.0598802441961042,-1.88075
1.0343642657875494,-1.09387
1.2265623954081142,-1.07141
1.076433112706764,-1.18289
2.8611112153100122,-3.33678
1.0813953160973686,-1.90496
1.7537313370595504,-1.1742
1,-1.06794
1.0187740631934263,-1.73103
1.2162161634934263,-2.22965
1.5499999922389787,-1.80164
1.0737462420172743,-1.16737
1.8873238734571363,-2.56388
1.0240240969246774,-1.27653
1.0913242156711735,-1.08379
1.0402144608785573,-1.47301
1.0574373909845125,-1.00983
1.6190477288634344,-1.34312
1.0568860702596383,-1.0079
1.3384615296442834,-1.34387
1.078124936335374,-1.39979
1,-1.35001
1.0952380811591447,-1.59341
1.0670470395209182,-1.01676
1,-1.03468
1,-1.05727
1.234234157134245,-1.0005
1.1087378239067576,-1.03572
1.2794117657129354,-1.50986
1.1232876502610798,-1.14986
1,-1.13335
1.5277777957431056,-1.82338
1.442424170586688,-1.19424
1.0106007550887401,-1.05901
1.2882881998500655,-1.61423
1.1237113303079749,-1.58754
1.0986964675090864,-1.08888
1.1164382194107905,-1.53775
1.1475410411728557,-1.63986
1.2205882000472645,-1.58663
1.0628930957597642,-1.0591
1.4244185190238874,-1.16378
1.7231639123604017,-1.01799
1,-1.25333
1.176706747697464,-1.27178
1,-1.12196
1.4027778765870804,-2.33564
1.0495049015597606,-1.06931
1,-1.14374
1,-1.34826
2.5465115473166,-3.16281
1.022140252090802,-1.1482
1.2000000143280394,-1.04521
1.0281172867027824,-1.17303
1,-1.3269
1,-1.45722
1.629629578528255,-1.50445
1.3205128029089264,-1.75482
1.0206186190597577,-1.2302
2.1250000145519143,-2.59425
2.6036033791065765,-1.53589
1,-1.15301
1.0048077019515649,-1.21149
1,-1.14921
1.312499890860641,-1.17086
1.0026810106663155,-1.19489
3.279069717072875,-3.41392
1.0711206041778165,-1.4831
1.1646342065921056,-1.64074
1.0101009929968305,-1.21329
1.76774185485324,-1.52669
1.1666666666666667,-1.18559
1.3225807129995664,-3.10595
1.8554217056735611,-2.54348
2.424999723513624,-2.97872
2.8932037957090624,-2.96222
1.5979382245054028,-1.16999
1.3442623276194403,-2.85111
1.0555555914862111,-1.36022
1.733333407839141,-1.89866
1.1603053543653932,-1.25362
1.1714286373180607,-1.54392
1.0807601397806874,-1.018
1.3444857852700074,-1.01334
1.3043478084816151,-1.95236
1.6203474429395073,-1.06084
2.6885246552388806,-2.36354
1.5401929460732506,-1.072
1,-1.06811
1.9882350956073789,-1.59881
1.4277778973550024,-1.12613
1.2592592432900798,-1.04587
1.2567566399729497,-1.09326
1.1548637680177942,-1.01954
1.3636364063968127,-1.18259
2.0645162608323333,-1.4586
1.8153846462450078,-2.68046
1.1428571428571428,-1.32231
1.453202047735285,-1.59087
1.6086956697792547,-1.18476
1.9358974274781822,-1.01936
1.333333275844287,-1.41576
1.3606557427106831,-1.05682
1.6944444408513788,-1.04838
1.8550725733124653,-2.84585
1.1333333385073476,-1.34192
1.0928962271458258,-1.00241
1,-1.4258
2.0967743340705303,-2.92707
1.622340467165281,-1.08027
1.6826923102754878,-1.16557
1.2786885909165513,-1.02613
1.1397850086908419,-1.01064
1.7580644652503252,-2.06671
1.3835616849053856,-1.84755
1.658415794566111,-1.11856
1.2089552923449451,-1.10259
1.4086021559216242,-1.17598
1.0857142299616411,-1.37473
2.0163935677670777,-1.08737
1.3962263338647143,-1.01252
1.273584864216691,-1.63936
1.1833333307463263,-2.71565
1,-1.22117
1.1851852107358725,-1.83731
1.19696978676664,-1.37963
1.2,-1.80462
1.0373832898266409,-1.34658
1.7874999054125555,-2.18505
1.0438596591555225,-1.19327
1.115044213507589,-1.28571
1.2941175697171607,-1.92312
1,-1.77881
1.2328766301892289,-1.36375
1.428571415900373,-2.16702
1.1181102570076342,-1.00295
2.045454609595219,-3.61201
1,-1.00092
1,-1.47675
1.1800553530667084,-1.00947
1,-1.11342
1.3246752587020605,-1.42876
1.306451707392253,-1.24439
1.0952381223903567,-1.3115
1.6557378250563946,-2.71399
2.168674639311665,-1.55122
1.5076922944664253,-1.80414
1.0543175335714545,-1.04474
1.833333263683143,-1.90479
1.062992166403733,-1.44762
1.1911764856940295,-1.04006
1,-1.15055
1.0952890952857448,-1.20943
1.210526380285501,-1.25179
1.4269663097712901,-1.59915
1,-1.79169
1,-1.38429
1.2142857427955882,-1.19263
1.4222222528830468,-1.55385
1,-1.32331
1.18110235007888,-1.07542
1.1126961397171946,-1.17777
1.5555555268110313,-1.37976
1.1219512389032065,-1.81332
1.2066116052337559,-1.62065
1.247572842308736,-1.09167
1.1870968199359273,-1.75079
1.3246752587020605,-1.02689
1.1914893364059052,-1.49275
1,-1.54224
1,-1.65046
1.2786885909165513,-1.78761
1.2222222365944844,-1.02327
1.1722689374868862,-1.08209
1,-1.3312
1,-1.25279
1,-1.66449
2.014492729171325,-1.20842
1.3023254907311748,-1.50118
2.3413899025268163,-1.04666
1.5833332578789567,-1.30472
1.7515551965927207,-1.14936
1.4383561110802443,-1.04881
1,-1.00177
2.0595237105311854,-1.04015
1,-1.02408
1.145631089029825,-1.27657
1,-1.21257
1.0075187843565254,-1.03082
1,-1.25842
1.1006159579958612,-1.10211
1.2071427649609316,-1.18923
1.2183908587372079,-1.02644
1.1180556157394035,-1.01771
1.061452515710476,-1.02716
1.2261905435054605,-1.09567
1.3529413007697029,-1.2325
1.255033564178408,-1.37665
1,-1.33763
1.1651786293392565,-1.0392
1,-1.23714
1.0246913154402126,-1.37392
1,-1.05412
1.3265306238815815,-1.32045
1.1823203288463826,-1.17829
1.0420841318319694,-1.18845
1.0909090365781675,-1.12415
1.0990990083932295,-1.43972
1.1489362165891737,-1.12206
1,-1.03948
1.2241378682818727,-1.02116
1.0941175916306318,-1.12141
1.1224489601973644,-1.29921
1.2481752365678302,-1.16868
1,-1.12951
1.500000163389936,-1.21805
1.7984498026859488,-1.07487
1.2095238112132836,-1.3051
1.0599999615053328,-1.05208
1.9482757928565315,-1.25976
1.1833333307463263,-1.00257
1.8181818841550823,-1.75122
1,-1.20604
1.1151515459390384,-1.0104
1.2947369391072852,-1.63721
1.0720719450838547,-1.07966
1.3432835654921345,-1.48091
1.1517242699330013,-1.12563
1.2250000038805107,-1.40382
2,-2.0098
1.0845070293210515,-1.12595
1.2236841944023102,-1.06324
1,-1.6058
1.377483408581317,-1.06587
1.1008404051895175,-1.25276
1.0384615439723228,-1.04382
1,-1.16923
1.7764705418302964,-1.05953
1.0717948438735645,-1.2206
1,-1.45825
1.151515177171421,-1.14528
1.092857115297598,-1.02622
1,-1.06409
1.4324325157684554,-1.17455
1.7518248314119196,-1.83628
1,-1.22978
1,-1.06617
1.014285689577157,-1.2113
1,-1.22565
1.450000029103829,-1.70853
1,-1.04726
1.1327433803365503,-1.21724
1.1666666666666667,-1.15868
1,-1.11665
2.0869565745551544,-2.27566
1,-1.20449
1.1525423447891794,-1.15331
1.8125000363797863,-1.9808
1.4404762340329451,-1.03019
1.561643697552108,-1.41893
1.7945205191089846,-2.89056
1.8791947097376902,-1.98998
1.282828274276193,-1.52544
1,-1.52218
1.248226920373903,-1.15956
1.2727272342428686,-1.81636
2.074626880194382,-2.05844
1.0642569923622573,-1.06157
1.379629578528255,-1.19769
1.314606738045742,-2.2018
1,-1.05136
1.3795620105500492,-1.26479
1.1249999272404274,-1.5149
1.5039371112324031,-1.74985
1.3050846895783588,-1.59162
1.2471911205819992,-1.492
1.1562500181898931,-1.18569
1.7278107702335626,-1.11563
1,-1.60198
1.7588651339255048,-1.64481
1,-1.05977
1.05154640363043,-1.07519
1.180722924011819,-1.0231
1,-1.01776
1.145631089029825,-1.51127
1,-1.00555
1.5757575885857105,-2.39961
1,-1.12862
1.0983606707549998,-1.00621
1.2430939090065989,-1.37896
1.0865051742543248,-1.14344
1.177570147959311,-1.34023
1,-1.15077
1.5368421909138794,-2.16575
1.3814433484601252,-2.25952
1.0312499454303206,-1.02138
1.7881774144814153,-2.08769
1.0645161726425783,-1.12489
1.2170542641255468,-1.08762
1.2239746755471945,-1.04531
1,-1.00963
1.0502007542441005,-1.01641
1.6636362558800322,-1.06518
1.2608695264856398,-1.5021
1.0960450259170738,-1.14838
1.7250000038805107,-1.7953
1.008510703393486,-1.0755
1.5051547747807432,-1.6556
1.0679441642616696,-1.26656
1.1688653414724863,-1.29194
1.1312500036379787,-1.39713
1.204081663684217,-1.4476
1.0355030101008276,-1.10959
1.711409382968785,-2.24063
1,-1.29065
1.3710691595498583,-1.10567
1.323076940711433,-1.331
1.8059701948966302,-1.29704
1.3906248999555875,-1.07424
1.1986531758476258,-1.14805
1.345678876075347,-1.37094
1.223880640583147,-1.14176
1,-1.04951
1.0185184865801595,-1.27984
1.1103449002315846,-1.09708
1.231213930089,-1.1529
1.3076923505539657,-1.19351
1.0684931602970051,-1.65625
1.1822660758441614,-1.12324
2.133858335274811,-1.44924
1.3194444246825838,-1.13929
1.732558061462956,-1.48911
1.0687499963620213,-1.30688
1.3668342080121636,-1.32416
1.520833296953547,-1.06042
1.07142854427631,-1.09462
1.125,-1.01343
1.0300752074503567,-1.20743
1.41975305235217,-1.08395
